fighter_key,fighter_id,fighter_name,nick_name,wins,losses,draws,height,weight,reach,stance,date_of_birth,height_cm,weight_lbs,reach_inches,reach_cm,url,slpm,str_acc,str_acc_num,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_acc_num,takedowns_def,sub_avg,source_match
JASON YOUNG,f59e9e49ef85b469,Jason Young,Shotgun,9.0,6.0,0.0,"5' 9""",145 lbs.,"73""",Orthodox,1986-06-28,175.26,145.0,73.0,185.42,http://ufcstats.com/fighter-details/f59e9e49ef85b469,2.97,37%,37.0,3.2,50%,1.98,66%,66.0,55%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JAVI ALANIS,2144954270be834d,Javi Alanis,,,,,"5' 6""",135 lbs.,,,,167.64,135.0,,,http://ufcstats.com/fighter-details/2144954270be834d,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JAVID BASHARAT,bbab3baf66128ae2,Javid Basharat,The Snow Leopard,14.0,2.0,0.0,"5' 9""",135 lbs.,"69""",Orthodox,1995-09-07,175.26,135.0,69.0,175.26,http://ufcstats.com/fighter-details/bbab3baf66128ae2,5.41,53%,53.0,2.96,61%,1.62,40%,40.0,83,0.2,"fighter_tott, ufc_dataset"
JAVIER REYES,4a574b8512fc1b30,Javier Reyes,,,,,"5' 7""",145 lbs.,"73""",Orthodox,1993-10-10,170.18,145.0,73.0,185.42,http://ufcstats.com/fighter-details/4a574b8512fc1b30,6.28,47%,47.0,3.06,41%,1.27,50%,50.0,50%,0.0,"fighter_tott, raw_fighter_details"
JAVIER VAZQUEZ,be5cfd73617a5b1a,Javier Vazquez,Showtime,16.0,5.0,0.0,"5' 7""",145 lbs.,"69""",Southpaw,1977-07-16,170.18,145.0,69.0,175.26,http://ufcstats.com/fighter-details/be5cfd73617a5b1a,2.43,36%,36.0,1.99,72%,2.56,52%,52.0,57%,1.5,"fighter_tott, raw_fighter_details, ufc_dataset"
JAVY AYALA,26387c19f32dda0f,Javy Ayala,,,,,"6' 1""",265 lbs.,,,1988-08-20,185.42,265.0,,,http://ufcstats.com/fighter-details/26387c19f32dda0f,0.83,25%,25.0,5.0,33%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JAY BOGAN,53c21779d84ceb75,Jay Bogan,,,,,,145 lbs.,,,,,145.0,,,http://ufcstats.com/fighter-details/53c21779d84ceb75,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JAY CUCCINIELLO,683ea28a198936fe,Jay Cucciniello,,8.0,1.0,0.0,"5' 7""",155 lbs.,,Orthodox,1986-07-23,170.18,155.0,,,http://ufcstats.com/fighter-details/683ea28a198936fe,0.93,21%,21.0,4.73,36%,0.0,0%,0.0,71%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JAY HIERON,5bb0a618ad03ac64,Jay Hieron,The Thoroughbred,23.0,7.0,0.0,"6' 0""",170 lbs.,"75""",Orthodox,1976-07-29,182.88,170.0,75.0,190.5,http://ufcstats.com/fighter-details/5bb0a618ad03ac64,1.66,32%,32.0,1.89,61%,4.05,60%,60.0,66%,1.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JAY PERRIN,01fed6f61ebea01f,Jay Perrin,The Joker,10.0,7.0,0.0,"5' 7""",135 lbs.,"67""",Switch,1993-06-15,170.18,135.0,67.0,170.18,http://ufcstats.com/fighter-details/01fed6f61ebea01f,2.87,44%,44.0,2.6,47%,4.0,80%,80.0,80%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
