red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
CHAD ANHELIGER,ALATENGHEILI,2022-09-10,27 27 27,30 30 30
JAKE COLLIER,CHRIS BARNETT,2022-09-10,10 10 10,8 8 9
NORMA DUMONT,DANYELLE WOLF,2022-09-10,30 30 30,27 26 27
DARIAN WEEKS,YOHAN LAINESSE,2022-09-10,28 29 28,29 28 29
IRENE ALDANA,MACY CHIASSON,2022-09-10,19 19 19,19 19 19
LI JINGLIANG,DANIEL RODRIGUEZ,2022-09-10,28 28 29,29 29 28
CARLOS ULBERG,DA WOON JUNG,2023-09-10,20 20 20,18 18 18
ISRAEL ADESANYA,SEAN STRICKLAND,2023-09-10,46 46 46,49 49 49
JACK JENKINS,CHEPE MARISCAL,2023-09-10,10 10 10,9 9 9
TYSON PEDRO,ANTON TURKALJ,2023-09-10,- - -,- - -
JUSTIN TAFA,AUSTEN LANE,2023-09-10,- - -,- - -
JAMIE MULLARKEY,JOHN MAKDESSI,2023-09-10,29 29 29,28 28 28
NASRAT HAQPARAST,LANDON QUINONES,2023-09-10,30 30 30,27 27 27
SHANE YOUNG,GABRIEL MIRANDA,2023-09-10,- - -,- - -
BLOOD DIAMOND,CHARLES RADTKE,2023-09-10,27 27 27,29 29 29
KEVIN JOUSSET,KIEFER CROSBIE,2023-09-10,- - -,- - -
MANEL KAPE,FELIPE DOS SANTOS,2023-09-10,30 29 29,27 28 28
TAI TUIVASA,ALEXANDER VOLKOV,2023-09-10,9 9 9,10 10 10
SANTIAGO PONZINIBBIO,ALEX MORONO,2022-12-10,19 18 18,19 20 20
DARREN TILL,DRICUS DU PLESSIS,2022-12-10,19 18 18,19 19 19
TJ BROWN,ERIK SILVA,2022-12-10,20 20 20,18 18 18
CAMERON SAAIMAN,STEVEN KOSLOW,2022-12-10,2Q19 18 1918,18 19 19
BILLY QUARANTILLO,ALEXANDER HERNANDEZ,2022-12-10,9 9 9,10 10 10
CHRIS CURTIS,JOAQUIN BUCKLEY,2022-12-10,9 9 9,10 10 10
BRYCE MITCHELL,ILIA TOPURIA,2022-12-10,9 9 9,10 10 10
RAUL ROSAS JR.,JAY PERRIN,2022-12-10,- - -,- - -
EDMEN SHAHBAZYAN,DALCHA LUNGIAMBULA,2022-12-10,10 10 10,9 9 9
PADDY PIMBLETT,JARED GORDON,2022-12-10,29 29 29,28 28 28
JAN BLACHOWICZ,MAGOMED ANKALAEV,2022-12-10,48 46 47,47 48 47
JAIRZINHO ROZENSTRUIK,CHRIS DAUKAUS,2022-12-10,- - -,- - -
FABRICIO WERDUM,ALEXEI OLEINIK,2020-05-10,29 28 28,28 29 29
DONAL CERRONE,ANTHONY PETTIS,2020-05-10,28 28 28,29 29 29
BRYCE MITCHELL,CHARLES ROSA,2020-05-10,25 25 24,30 30 30
CALVIN KATTAR,JEREMY STEPHENS,2020-05-10,19 19 19,18 18 18
MICHELLE WATERSON,CARLA ESPARZA,2020-05-10,27 28 30,30 29 27
JAIRZINHO ROZENSTRUIK,FRANCIS NGANNOU,2020-05-10,8 8 9,10 10 10
YORGAN DECASTRO,GREG HARDY,2020-05-10,27 27 27,30 30 30
DOMINICK CRUZ,HENRY CEJUDO,2020-05-10,17 16 17,20 20 20
JUSTIN GAETHJE,TONY FERGUSON,2020-05-10,49 49 50,44 45 44
SAM ALVEY,RYAN SPANN,2020-05-10,28 28 29,29 29 28
NIKO PRICE,VICENTE LUQUE,2020-05-10,26 26 26,29 29 30
PETR YAN,MERAB DVALISHVILI,2023-03-11,45 45 45,50 50 50
NIKITA KRYLOV,RYAN SPANN,2023-03-11,- - -,- - -
ALEXANDER VOLKOV,ALEXANDR ROMANOV,2023-03-11,- - -,- - -
RAPHAEL,DAVEY GRANT,2023-03-11,20 19 20,18 19 18
KARL WILLIAMS,LUKASZ BRZESKI,2023-03-11,30 30 30,26 26 27
VITOR PETRINO,ANTON TURKALJ,2023-03-11,30 30 30,27 27 26
RAPHAEL ASSUNCAO,DAVEY GRANT,2023-03-11,20 19 20,18 19 18
SEDRIQUES DUMAS,JOSH FREMD,2023-03-11,9 9 9,10 10 10
CARLSTON HARRIS,JARED GOODEN,2023-03-11,30 30 30,27 27 27
TYSON NAM,BRUNO SILVA,2023-03-11,9 9 9,10 10 10
SAID NURMAGOMEDOV,JONATHAN MARTINEZ,2023-03-11,28 28 28,29 29 29
VICTOR HENRY,TONY GRAVELY,2023-03-11,30 29 28,27 28 29
ARIANE DA SILVA,JJ ALDRICH,2023-03-11,30 30 30,27 27 27
MARIO BAUTISTA,GUIDO CANNETTI,2023-03-11,- - -,- - -
JJ ALDRICH,VERONICA HARDY,2024-05-11,28 28 28,29 29 29
BILLY RAY GOFF,TREY WATERS,2024-05-11,27 28 27,30 29 30
CHARLES JOHNSON,JAKE HADLEY,2024-05-11,29 29 29,28 28 28
TABATHA RICCI,TECIA PENNINGTON,2024-05-11,29 29 28,28 28 29
TERRANCE MCKINNEY,ESTEBAN RIBOVICS,2024-05-11,- - -,- - -
WALDO CORTES-ACOSTA,ROBELIS DESPAIGNE,2024-05-11,30 30 30,26 27 27
CHASE HOOPER,VIACHESLAV BORSHCHEV,2024-05-11,10 10 10,8 8 8
ALEX CACERES,SEAN WOODSON,2024-05-11,28 28 27,29 29 30
DIEGO FERREIRA,MATEUSZ REBECKI,2024-05-11,19 19 19,19 19 19
DERRICK LEWIS,RODRIGO NASCIMENTO,2024-05-11,19 18 19,19 20 19
ALONZO MENIFIELD,CARLOS ULBERG,2024-05-11,- - -,- - -
JOAQUIN BUCKLEY,NURSULTON RUZIBOEV,2024-05-11,30 30 29,27 26 27
TOM ASPINALL,ALAN BAUDOT,2020-10-11,- - -,- - -
MARKUS PEREZ,DRICUS DU PLESSIS,2020-10-11,- - -,- - -
EDSON BARBOZA,MAKWAN AMIRKHANI,2020-10-11,30 30 29,27 26 28
BEN ROTHWELL,MARCIN TYBURA,2020-10-11,27 27 27,29 29 29
MARLON MORAES,CORY SANDHAGEN,2020-10-11,9 9 9,10 10 10
ALI ALQAISI,TONY KELLEY,2020-10-11,28 27 28,29 30 29
GIGA CHIKADZE,OMAR MORALES,2020-10-11,30 30 30,27 27 27
IMPA KASANGANAY,JOAQUIN BUCKLEY,2020-10-11,9 9 9,10 10 10
CHRIS DAUKAUS,RODRIGO NASCIMENTO,2020-10-11,- - -,- - -
YOUSSEF ZALAL,ILIA TOPURIA,2020-10-11,28 28 28,29 29 29
TRACY CORTEZ,STEPHANIE EGGER,2020-10-11,30 30 30,27 27 27
BRUNO SILVA,TAGIR ULANBEKOV,2020-10-11,28 27 28,29 30 29
TOM BREESE,KB BHULLAR,2020-10-11,- - -,- - -
JOSHUA VAN,KEVIN BORJAS,2023-11-11,29 29 29,28 28 28
JOHN CASTANEDA,KYUNG HO KANG,2023-11-11,30 30 30,27 27 27
JIRI PROCHAZKA,ALEX PEREIRA,2023-11-11,10 10 10,9 9 9
SERGEI PAVLOVICH,TOM ASPINALL,2023-11-11,- - -,- - -
DENNIS BUZUKJA,JAMALL EMMERS,2023-11-11,- - -,- - -
STEVE ERCEG,ALESSANDRO COSTA,2023-11-11,29 29 29,28 28 28
DIEGO LOPES,PAT SABATINI,2023-11-11,- - -,- - -
JESSICA ANDRADE,MACKENZIE DERN,2023-11-11,10 10 9,9 9 10
MATT FREVOLA,BENOIT SAINT DENIS,2023-11-11,- - -,- - -
MATEUSZ REBECKI,ROOSEVELT ROBERTS,2023-11-11,- - -,- - -
TABATHA RICCI,LOOPY GODINEZ,2023-11-11,28 28 30,29 29 27
NAZIM SADYKHOV,VIACHESLAV,2023-11-11,28 28 28,28 29 28
JARED GORDON,MARK MADSEN,2023-11-11,- - -,- - -
JORDAN WRIGHT,BRUNO SILVA,2021-12-11,- - -,- - -
AUGUSTO SAKAI,TAI TUIVASA,2021-12-11,9 9 9,10 10 10
ANDRE MUNIZ,ERYK ANDERS,2021-12-11,- - -,- - -
MIRANDA MAVERICK,ERIN BLANCHFIELD,2021-12-11,27 27 27,30 30 30
GILLIAN ROBERTSON,PRISCILA CACHOEIRA,2021-12-11,- - -,- - -
RYAN HALL,DARRICK MINNER,2021-12-11,30 29 30,27 27 27
JOSH EMMETT,DAN IGE,2021-12-11,29 30 29,28 27 28
PEDRO MUNHOZ,DOMINICK CRUZ,2021-12-11,28 28 28,29 29 29
RANDY COSTA,TONY KELLEY,2021-12-11,9 9 9,10 10 10
AMANDA NUNES,JULIANNA PENA,2021-12-11,10 10 10,9 9 9
GEOFF NEAL,SANTIAGO PONZINIBBIO,2021-12-11,30 28 29,27 29 28
RAULIAN PAIVA,SEAN O'MALLEY,2021-12-11,- - -,- - -
KAI KARA-FRANCE,CODY GARBRANDT,2021-12-11,- - -,- - -
CHARLES OLIVEIRA,DUSTIN POIRIER,2021-12-11,19 19 19,19 18 18
AMANDA RIBAS,PAIGE VANZANT,2020-07-11,- - -,- - -
VOLKAN OEZDEMIR,JIRI PROCHAZKA,2020-07-11,10 10 10,9 9 9
KAROL ROSA,VANESSA MELO,2020-07-11,30 29 30,26 27 26
LEO SANTOS,ROMAN BOGATOV,2020-07-11,29 29 29,26 26 26
MAKWAN AMIRKHANI,DAN HENRY,2020-07-11,- - -,- - -
RAULIAN PAIVA,ZHAL ZHAMUGULOV,2020-07-11,29 29 29,28 28 28
JESSICA ANDRADE,ROSE NAMAJUNAS,2020-07-11,29 28 28,28 29 29
DERRICK LEWIS,TAI TUIVASA,2022-02-12,10 10 10,9 9 9
JARED CANNONIER,DEREK BRUNSON,2022-02-12,9 9 9,10 10 10
ROXANNE MODAFFERI,CASEY O'NEILL,2022-02-12,28 28 29,29 29 28
WILLIAM KNIGHT,MAXIM GRISHIN,2022-02-12,27 27 27,30 30 30
KING GREEN,NASRAT HAQPARAST,2022-02-12,30 30 30,27 27 27
ISRAEL ADESANYA,ROBERT WHITTAKER,2022-02-12,48 48 49,47 47 46
MANA MARTINEZ,RONNIE LAWRENCE,2022-02-12,27 27 28,29 29 29
JEREMIAH WELLS,BLOOD DIAMOND,2022-02-12,- - -,- - -
DOUGLAS SILVA DE ANDRADE,SERGEY MOROZOV,2022-02-12,9 9 8,10 10 10
AJ DOBSON,JACOB MALKOUN,2022-02-12,28 28 28,29 29 29
ALEXANDER HERNANDEZ,RENATO MOICANO,2022-02-12,10 9 9,9 10 10
CARLOS ULBERG,FABIO CHERANT,2022-02-12,30 30 30,27 27 27
KYLER PHILLIPS,MARCELO ROJO,2022-02-12,20 20 20,18 18 18
ANDREI ARLOVSKI,JARED VANDERAA,2022-02-12,29 29 28,28 28 29
TYSON PEDRO,MODESTAS BUKAUSKAS,2023-02-12,27 28 28,30 29 29
JOSH CULIBAO,MELSIK BAGHDASARYAN,2023-02-12,9 9 9,10 10 10
ZUBAIRA TUKHUGOV,ELVES BRENER,2023-02-12,28 27 29,29 30 28
SHANE YOUNG,BLAKE BILDER,2023-02-12,27 28 27,30 29 30
SLAM MAKACHEV,ALEXANDER,2023-02-12,48 49 48,47 46 47
JIMMY CRUTE,ALONZO MENIFIELD,2023-02-12,28 29 28,20 28 29
LOMA LOOKBOONMEE,ELISE REED,2023-02-12,9 9 9,10 10 10
JACK JENKINS,DON SHAINIS,2023-02-12,30 30 29,27 27 28
JUSTIN TAFA,PARKER PORTER,2023-02-12,- - -,- - -
SHANNON ROSS,KLEYDSON RODRIGUES,2023-02-12,- - -,- - -
YAIR RODRIGUEZ,JOSH EMMETT,2023-02-12,9 10 10,10 9 9
JACK DELLA MADDALENA,RANDY BROWN,2023-02-12,- - -,- - -
ISLAM MAKHACHEV,ALEXANDER VOLKANOVSKI,2023-02-12,48 48 49,47 47 46
JAMIE MULLARKEY,FRANCISCO PRADO,2023-02-12,30 30 30,27 27 27
KRIS MOUTINHO,GUIDO CANNETTI,2022-03-12,- - -,- - -
TAFON NCHUKWI,AZAMAT MURZAKANOV,2022-03-12,19 19 20,19 19 18
KHALIL ROUNTREE JR.,KARL ROBERSON,2022-03-12,10 10 9,9 9 10
SODIQ YUSUFF,ALEX CACERES,2022-03-12,29 30 30,28 27 27
MATTHEW SEMELSBERGER,AJ FLETCHER,2022-03-12,29 29 29,28 28 28
THIAGO SANTOS,MAGOMED ANKALAEV,2022-03-12,47 46 46,48 49 49
MARLON MORAES,SONG YADONG,2022-03-12,- - -,- - -
JJ ALDRICH,GILLIAN ROBERTSON,2022-03-12,30 30 30,27 27 27
ALEX PEREIRA,BRUNO SILVA,2022-03-12,30 30 30,27 27 27
DREW DOBER,TERRANCE MCKINNEY,2022-03-12,- - -,- - -
TREVIN JONES,JAVID BASHARAT,2022-03-12,28 27 27,29 30 30
DAMON JACKSON,KAMUELA KIRK,2022-03-12,10 10 10,9 9 9
DALCHA LUNGIAMBULA,CODY BRUNDAGE,2022-03-12,- - -,- - -
SABINA MAZO,MIRANDA MAVERICK,2022-03-12,9 9 9,10 10 10
LAUREN MURPHY,JOANNE WOOD,2021-06-12,29 28 29,28 29 28
ERYK ANDERS,DARREN STEWART,2021-06-12,29 29 29,28 27 27
PAUL CRAIG,JAMAHAL HILL,2021-06-12,- - -,- - -
DREW DOBER,BRAD RIDDELL,2021-06-12,28 28 28,29 29 29
PANNIE KIANZAD,ALEXIS DAVIS,2021-06-12,29 30 30,28 27 27
MOVSAR EVLOEV,HAKEEM DAWODU,2021-06-12,29 29 29,27 27 27
DEMIAN MAIA,BELAL MUHAMMAD,2021-06-12,27 28 28,30 29 29
MATT FREVOLA,TERRANCE MCKINNEY,2021-06-12,- - -,- - -
CHASE HOOPER,STEVEN PETERSON,2021-06-12,27 28 27,30 29 30
LEON EDWARDS,NATE DIAZ,2021-06-12,49 49 49,46 46 46
ISRAEL ADESANYA,MARVIN VETTORI,2021-06-12,50 50 50,45 45 45
CARLOS FELIPE,JAKE COLLIER,2021-06-12,28 29 29,29 28 28
FARES ZIAM,LUIGI VENDRAMINI,2021-06-12,29 28 29,28 28 28
DEIVESON FIGUEIREDO,BRANDON MORENO,2021-06-12,19 18 18,19 20 20
GLOVER TEIXEIRA,JIRI PROCHAZKA,2022-06-12,38 39 38,38 37 37
ZHANG WEILI,JOANNA JEDRZEJCZYK,2022-06-12,10 10 10,9 9 9
VALENTINA SHEVCHENKO,TAILA SANTOS,2022-06-12,48 47 49,47 48 46
ANDRE FIALHO,JAKE MATTHEWS,2022-06-12,9 9 9,10 10 10
JACK DELLA MADDALENA,RAMAZAN EMEEV,2022-06-12,- - -,- - -
LIANG NA,SILVANA GOMEZ JUAREZ,2022-06-12,- - -,- - -
RAMONA PASCUAL,JOSELYNE EDWARDS,2022-06-12,28 27 28,29 30 29
KYUNG HO KANG,BATGEREL DANAA,2022-06-12,29 29 29,28 28 28
BRENDAN ALLEN,JACOB MALKOUN,2022-06-12,29 29 29,28 28 28
MAHESHATE,STEVE GARCIA,2022-06-12,- - -,- - -
SEUNGWOO CHOI,JOSH CULIBAO,2022-06-12,29 28 28,28 29 29
CUB SWANSON,HAKEEM DAWODU,2023-08-12,29 29 29,28 28 28
KHALIL ROUNTREE JR.,CHRIS DAUKAUS,2023-08-12,- - -,- - -
VICENTE LUQUE,RAFAEL DOS ANJOS,2023-08-12,48 48 49,47 47 46
AJ DOBSON,TAFON NCHUKWI,2023-08-12,29 29 29,28 28 28
JAQUELINE AMORIM,MONTSERRAT CONEJO RUIZ,2023-08-12,20 20 20,16 16 18
JOSH PARISIAN,MARTIN BUDAY,2023-08-12,- - -,- - -
POLYANA VIANA,IASMIN LUCINDO,2023-08-12,10 9 9,9 10 10
DA'MON BLACKSHEAR,JOSE JOHNSON,2023-08-12,- - -,- - -
JULIANA MILLER,LUANA SANTOS,2023-08-12,- - -,- - -
FRANCIS MARSHALL,ISAAC DULGARIAN,2023-08-12,- - -,- - -
TERRANCE MCKINNEY,MIKE BREEDEN,2023-08-12,- - -,- - -
JOSH FREMD,JAMIE PICKETT,2023-08-12,30 30 30,27 27 27
JP BUYS,MARCUS MCGHEE,2023-08-12,- - -,- - -
OTTMAN AZAITAR,KHAMA WORTHY,2020-09-12,- - -,- - -
MICHELLE WATERSON-GOMEZ,ANGELA HILL,2020-09-12,47 49 48,48 46 47
KING GREEN,ALAN PATRICK,2020-09-12,30 30 30,27 27 27
BRYAN BARBERENA,ANTHONY IVY,2020-09-12,30 30 29,27 27 28
SABINA MAZO,JUSTINE KISH,2020-09-12,18 19 18,20 19 20
BILLY QUARANTILLO,KYLE NELSON,2020-09-12,19 19 20,19 19 18
BROK WEAVER,JALIN TURNER,2020-09-12,9 9 9,10 10 10
ED HERMAN,MIKE RODRIGUEZ,2020-09-12,18 18 18,20 20 20
ROXANNE MODAFFERI,ANDREA LEE,2020-09-12,29 29 29,28 28 28
ALEXANDR ROMANOV,ROQUE MARTINEZ,2020-09-12,10 10 10,8 8 8
ROOSEVELT ROBERTS,KEVIN CROOM,2020-09-12,- - -,- - -
JULIA AVILA,SIJARA EUBANKS,2020-09-12,27 27 27,29 29 29
CLAYTON CARPENTER,LUCAS ROCHA,2024-10-12,10 10 10,9 9 9
CHIDI NJOKUANI,JARED GOODEN,2024-10-12,30 30 30,27 27 27
BRAD TAVARES,JUNYONG PARK,2024-10-12,28 28 29,29 29 28
BRANDON ROYVAL,TATSURO TAIRA,2024-10-12,47 48 48,48 47 47
CJ VERGARA,RAMAZAN TEMIROV,2024-10-12,- - -,- - -
JONATHAN PEARCE,PAT SABATINI,2024-10-12,- - -,- - -
DANIEL RODRIGUEZ,ALEX MORONO,2024-10-12,29 29 28,28 28 29
GRANT DAWSON,RAFA GARCIA,2024-10-12,10 10 10,9 9 9
THEMBA GORIMBO,NIKO PRICE,2024-10-12,30 30 30,27 27 27
JUNIOR TAFA,SEAN SHARAF,2024-10-12,9 9 9,10 10 10
DAN ARGUETA,CODY HADDON,2024-10-12,27 27 27,30 30 30
JULIA POLASTRI,CORY MCKENNA,2024-10-12,29 28 30,28 29 27
BRAD RIDDELL,RENATO MOICANO,2022-11-12,- - -,- - -
DOMINICK REYES,RYAN SPANN,2022-11-12,- - -,- - -
CARLA ESPARZA,ZHANG WEILI,2022-11-12,9 9 9,10 10 10
ERIN BLANCHFIELD,MOLLY MCCANN,2022-11-12,- - -,- - -
ANDRE PETROSKI,WELLINGTON TURMAN,2022-11-12,29 30 30,28 27 27
DUSTIN POIRIER,MICHAEL CHANDLER,2022-11-12,19 19 19,19 19 19
KAROLINA KOWALKIEWICZ,SILVANA GOMEZ JUAREZ,2022-11-12,29 29 29,28 28 28
DAN HOOKER,CLAUDIO PUELLES,2022-11-12,10 10 10,9 9 9
FRANKIE EDGAR,CHRIS GUTIERREZ,2022-11-12,- - -,- - -
MATT FREVOLA,OTTMAN AZAITAR,2022-11-12,- - -,- - -
CARLOS ULBERG,NICOLAE NEGUMEREANU,2022-11-12,- - -,- - -
ISRAEL ADESANYA,ALEX PEREIRA,2022-11-12,39 39 39,37 37 37
JULIO ARCE,MONTEL JACKSON,2022-11-12,27 27 28,30 30 29
MICHAEL TRIZANO,SEUNGWOO CHOI,2022-11-12,- - -,- - -
TONY FERGUSON,CHARLES OLIVEIRA,2020-12-12,26 26 26,30 30 30
DEIVESON FIGUEIREDO,BRANDON MORENO,2020-12-12,48 47 47,46 47 47
KEVIN HOLLAND,JACARE SOUZA,2020-12-12,- - -,- - -
MACKENZIE DERN,VIRNA JANDIROBA,2020-12-12,29 29 29,28 28 28
JUNIOR DOS SANTOS,CIRYL GANE,2020-12-12,9 9 9,10 10 10
CUB SWANSON,DANIEL PINEDA,2020-12-12,10 10 10,9 9 8
GAVIN TUCKER,BILLY QUARANTILLO,2020-12-12,30 30 30,27 27 27
RENATO MOICANO,RAFAEL FIZIEV,2020-12-12,- - -,- - -
TECIA PENNINGTON,SAM HUGHES,2020-12-12,10 10 10,9 9 9
CHASE HOOPER,PETER BARRETT,2020-12-12,18 19 18,20 19 20
JOSHUA VAN,FELIPE BUNES,2024-01-13,9 9 9,10 10 10
MAGOMED ANKALAEV,JOHNNY WALKER,2024-01-13,9 10 9,10 9 10
JIM MILLER,GABRIEL BENITEZ,2024-01-13,20 20 20,18 18 18
MATTHEW SEMELSBERGER,PRESTON PARSONS,2024-01-13,27 27 27,30 30 30
ANDREI ARLOVSKI,WALDO CORTES-ACOSTA,2024-01-13,28 28 28,29 29 29
RICKY SIMON,MARIO BAUTISTA,2024-01-13,28 27 27,29 30 30
PHIL HAWES,BRUNNO FERREIRA,2024-01-13,- - -,- - -
FARID BASHARAT,TAYLOR LAPILUS,2024-01-13,30 30 30,27 27 27
MARCUS MCGHEE,GASTON BOLANOS,2024-01-13,10 10 10,9 9 9
WESTIN WILSON,JEAN SILVA,2024-01-13,- - -,- - -
NIKOLAS MOTTA,TOM NOLAN,2024-01-13,- - -,- - -
RODOLFO VIEIRA,ANTHONY HERNANDEZ,2021-02-13,9 9 9,10 10 10
BELAL MUHAMMAD,DHIEGO LIMA,2021-02-13,30 30 30,27 27 27
ANDRE EWELL,CHRIS GUTIERREZ,2021-02-13,26 28 27,30 29 30
POLYANA VIANA,MALLORY MARTIN,2021-02-13,- - -,- - -
GABE GREEN,PHIL ROWE,2021-02-13,30 29 29,27 28 28
KAMARU USMAN,GILBERT BURNS,2021-02-13,19 19 19,19 19 19
MAYCEE BARBER,ALEXA GRASSO,2021-02-13,28 28 28,29 29 29
KELVIN GASTELUM,IAN HEINISCH,2021-02-13,29 30 29,28 27 28
MAKI PITOLO,JULIAN MARQUEZ,2021-02-13,20 20 20,18 18 18
RICKY SIMON,BRIAN KELLEHER,2021-02-13,30 30 30,27 27 27
CHARLES JOURDAIN,MARCELO ROJO,2021-03-13,19 19 19,19 19 19
MISHA CIRKUNOV,RYAN SPANN,2021-03-13,- - -,- - -
DAN IGE,GAVIN TUCKER,2021-03-13,- - -,- - -
RANI YAHYA,RAY RODRIGUEZ,2021-03-13,10 10 10,9 9 9
MANEL KAPE,MATHEUS NICOLAU,2021-03-13,29 28 28,28 29 29
CORTNEY CASEY,JJ ALDRICH,2021-03-13,28 28 29,29 29 28
NASRAT HAQPARAST,RAFA GARCIA,2021-03-13,30 29 29,27 28 28
JONATHAN MARTINEZ,DAVEY GRANT,2021-03-13,10 10 10,9 9 9
LEON EDWARDS,BELAL MUHAMMAD,2021-03-13,10 10 10,9 9 9
MATTHEW SEMELSBERGER,JASON WITT,2021-03-13,- - -,- - -
GLORIA DE PAULA,JINH YU FREY,2021-03-13,28 28 28,29 29 29
JEREMIAH WELLS,DARREN STEWART,2021-03-13,- - -,- - -
ANGELA HILL,ASHLEY YODER,2021-03-13,30 30 30,27 27 27
ALEX PEREIRA,JAMAHAL HILL,2024-04-13,- - -,- - -
KING GREEN,JIM MILLER,2024-04-13,29 30 29,27 25 26
DEIVESON FIGUEIREDO,CODY GARBRANDT,2024-04-13,9 9 9,10 10 10
JESSICA ANDRADE,MARINA RODRIGUEZ,2024-04-13,29 28 29,28 29 28
JALIN TURNER,RENATO MOICANO,2024-04-13,10 10 10,9 9 9
CALVIN KATTAR,ALJAMAIN STERLING,2024-04-13,27 27 27,30 30 30
JIRI PROCHAZKA,ALEKSANDAR RAKIC,2024-04-13,9 9 9,10 10 10
HOLLY HOLM,KAYLA HARRISON,2024-04-13,9 8 8,10 10 10
SODIQ YUSUFF,DIEGO LOPES,2024-04-13,- - -,- - -
BO NICKAL,CODY BRUNDAGE,2024-04-13,10 10 10,9 9 9
CHARLES OLIVEIRA,ARMAN TSARUKYAN,2024-04-13,29 28 28,28 29 29
ZHANG WEILI,YAN XIAONAN,2024-04-13,49 49 49,45 45 45
JUSTIN GAETHJE,MAX HOLLOWAY,2024-04-13,37 37 38,39 39 38
MATT BROWN,COURT MCGEE,2023-05-13,- - -,- - -
KARL WILLIAMS,CHASE SHERMAN,2023-05-13,30 30 29,27 27 28
JAIRZINHO ROZENSTRUIK,JAILTON ALMEIDA,2023-05-13,- - -,- - -
JI YEON KIM,MANDY BOHM,2023-05-13,28 27 27,27 28 28
CODY STAMANN,DOUGLAS SILVA DE ANDRADE,2023-05-13,28 28 28,29 29 29
CARLOS ULBERG,IHOR POTIERIA,2023-05-13,- - -,- - -
TIM MEANS,ALEX MORONO,2023-05-13,10 10 10,9 9 9
DANIEL RODRIGUEZ,IAN MACHADO GARRY,2023-05-13,- - -,- - -
ANTHONY SMITH,JOHNNY WALKER,2023-05-13,28 27 27,29 30 30
BRYAN BATTLE,GABE GREEN,2023-05-13,- - -,- - -
JESSICA-ROSE CLARK,TAINARA LISBOA,2023-05-13,18 18 18,20 20 20
JOSH FREMD,ANDRE PETROSKI,2024-07-13,27 27 27,30 30 30
EVAN ELDER,DARRIUS FLOWERS,2024-07-13,10 10 10,9 9 9
LUANA SANTOS,MARIYA AGAPOVA,2024-07-13,- - -,- - -
MONTEL JACKSON,DA'MON BLACKSHEAR,2024-07-13,- - -,- - -
JULIAN EROSA,CHRISTIAN RODRIGUEZ,2024-07-13,- - -,- - -
ABDUL RAZAK ALHASSAN,CODY BRUNDAGE,2024-07-13,- - -,- - -
SANTIAGO PONZINIBBIO,MUSLIM SALIKHOV,2024-07-13,28 29 28,29 28 29
JASMINE JASUDAVICIUS,FATIMA KLINE,2024-07-13,30 30 30,27 27 27
JOSHUA VAN,CHARLES JOHNSON,2024-07-13,18 19 20,20 19 18
ROSE NAMAJUNAS,TRACY CORTEZ,2024-07-13,49 49 48,46 46 47
DREW DOBER,JEAN SILVA,2024-07-13,18 18 18,20 20 20
GABRIEL BONFIM,ANGE LOOSA,2024-07-13,30 30 29,27 27 28
GABRIEL BENITEZ,CHARLIE ONTIVEROS,2022-08-13,- - -,- - -
DEVIN CLARK,AZAMAT MURZAKANOV,2022-08-13,18 18 18,20 20 20
PRISCILA CACHOEIRA,ARIANE DA SILVA,2022-08-13,- - -,- - -
ODE OSBOURNE,TYSON NAM,2022-08-13,- - -,- - -
YAZMIN JAUREGUI,IASMIN LUCINDO,2022-08-13,29 30 29,28 27 28
CYNTHIA CALVILLO,NINA NUNES,2022-08-13,28 29 27,29 28 30
MARTIN BUDAY,LUKASZ BRZESKI,2022-08-13,29 28 29,28 29 28
NATE LANDWEHR,DAVID ONAMA,2022-08-13,28 29 29,28 27 27
JASON WITT,JOSH QUINLAN,2022-08-13,- - -,- - -
YOUSSEF ZALAL,DA'MON BLACKSHEAR,2022-08-13,28 28 28,28 28 29
MARLON VERA,DOMINICK CRUZ,2022-08-13,28 28 28,29 29 29
ANGELA HILL,LOOPY GODINEZ,2022-08-13,29 29 29,28 28 28
BRUNO SILVA,GERALD MEERSCHAERT,2022-08-13,18 18 18,20 20 20
THIAGO MOISES,JOEL ALVAREZ,2021-11-13,- - -,- - -
CYNTHIA CALVILLO,ANDREA LEE,2021-11-13,18 18 18,20 20 20
SONG YADONG,JULIO ARCE,2021-11-13,10 10 10,9 9 9
MIGUEL BAEZA,KHAOS WILLIAMS,2021-11-13,18 19 19,20 19 19
MAX HOLLOWAY,YAIR RODRIGUEZ,2021-11-13,48 49 48,47 46 47
FELICIA SPENCER,LEAH LETSON,2021-11-13,20 20 20,18 18 18
BEN ROTHWELL,MARCOS ROGERIO DE LIMA,2021-11-13,- - -,- - -
MARC DIAKIESE,RAFAEL ALVES,2021-11-13,- - -,- - -
KENNEDY NZECHUKWU,DA WOON JUNG,2021-11-13,- - -,- - -
CORTNEY CASEY,LIANA JOJUA,2021-11-13,30 30 30,27 27 27
SEAN WOODSON,COLLIN ANGLIN,2021-11-13,- - -,- - -
DAN IGE,DAMON JACKSON,2023-01-14,10 10 10,9 9 9
SEAN STRICKLAND,NASSOURDINE IMAVOV,2023-01-14,48 49 49,47 46 46
KETLEN VIEIRA,RAQUEL PENNINGTON,2023-01-14,28 28 29,29 29 28
