red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
RENATO MOICANO,DREW DOBER,2024-02-03,29 29 29,28 28 28
THOMAS PETERSEN,JAMAL POGUES,2024-02-03,28 27 28,29 30 29
LANDON QUINONES,MARQUEL MEDEROS,2024-02-03,28 28 28,29 29 29
VIVIANE ARAUJO,NATALIA SILVA,2024-02-03,28 28 28,29 29 29
JEONGYEONG LEE,BLAKE BILDER,2024-02-03,30 30 30,27 27 27
LUANA CAROLINA,JULIJA STOLIARENKO,2024-02-03,20 20 20,18 18 18
ALIASKHAB KHIZRIEY,MAKHMUD MURADOV,2024-02-03,- - -,- - -
MOLLY MCCANN,DIANA BELBITA,2024-02-03,- - -,- - -
GILBERT URBINA,CHARLES RADTKE,2024-02-03,- - -,- - -
AZAT MAKSUM,CHARLES JOHNSON,2024-02-03,28 28 28,29 29 29
THEMBA GORIMBO,PETE RODRIGUEZ,2024-02-03,- - -,- - -
KARINE SILVA,KETLEN SOUZA,2023-06-03,- - -,- - -
ABUBAKAR NURMAGOMEDOV,ELIZEU ZALESKI DOS SANTOS,2023-06-03,28 28 29,29 29 28
KAI KARA-FRANCE,AMIR ALBAZI,2023-06-03,47 47 48,48 48 47
ALEX CACERES,DANIEL PINEDA,2023-06-03,29 29 29,28 28 28
TIM ELLIOTT,VICTOR ALTAMIRANO,2023-06-03,30 29 30,27 28 27
JIM MILLER,JESSE BUTLER,2023-06-03,- - -,- - -
DA'MON BLACKSHEAR,LUAN LACERDA,2023-06-03,10 10 10,9 9 9
ELISE REED,JINH YU FREY,2023-06-03,29 29 29,28 28 28
PHILIPE LINS,MAXIM GRISHIN,2023-06-03,29 30 29,28 27 28
JAMIE MULLARKEY,MUHAMMAD NAIMOV,2023-06-03,10 10 10,9 9 9
JOHN CASTANEDA,MUIN GAFUROV,2023-06-03,29 29 29,27 27 27
DANIEL SANTOS,JOHNNY MUNOZ,2023-06-03,29 29 29,27 27 27
ANDREI ARLOVSKI,DON'TALE MAYES,2023-06-03,9 10 9,10 9 10
VIKTORIIA DUDAKOVA,SAM HUGHES,2024-08-03,30 28 28,27 29 29
TONY FERGUSON,MICHAEL CHIESA,2024-08-03,- - -,- - -
JAI HERBERT,ROLANDO BEDOYA,2024-08-03,30 30 29,27 27 28
AZAMAT MURZAKANOV,ALONZO MENIFIELD,2024-08-03,10 10 10,9 9 9
MOHAMMAD YAHYA,KAUE FERNANDES,2024-08-03,- - -,- - -
GURAM KUTATELADZE,JORDAN VUCENIC,2024-08-03,29 29 29,28 28 28
SHAMIL GAZIEV,DON'TALE MAYES,2024-08-03,30 30 30,27 27 27
MACKENZIE DERN,LOOPY GODINEZ,2024-08-03,29 29 29,28 28 28
JOEL ALVAREZ,ELVES BRENER,2024-08-03,20 20 20,18 18 18
MARLON VERA,DEIVESON FIGUEIREDO,2024-08-03,28 28 27,29 29 30
CORY SANDHAGEN,UMAR NURMAGOMEDOV,2024-08-03,45 46 46,50 49 49
SEDRIQUES DUMAS,DENIS TIULIULIN,2024-08-03,29 30 29,28 27 28
SHARA MAGOMEDOV,MICHAL OLEKSIEJCZUK,2024-08-03,30 30 29,27 27 28
BENOIT SAINT DENIS,GABRIEL MIRANDA,2022-09-03,10 10 10,8 8 8
KHALID TAHA,CRISTIAN QUINONEZ,2022-09-03,- - -,- - -
FARES ZIAM,MICHAL FIGLAK,2022-09-03,30 29 30,27 28 27
CIRYL GANE,TAI TUIVASA,2022-09-03,20 20 20,18 18 18
JOHN MAKDESSI,NASRAT HAQPARAST,2022-09-03,27 28 27,30 29 30
CHARLES JOURDAIN,NATHANIEL WOOD,2022-09-03,28 27 27,29 30 30
STEPHANIE EGGER,AILIN PEREZ,2022-09-03,10 10 10,9 9 9
ABUS MAGOMEDOV,DUSTIN STOLTZFUS,2022-09-03,- - -,- - -
