winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_kd,delta_sig_str_pct,delta_total_str_pct,delta_td_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs,time_seconds
CHARLES JOHNSON,LONE'ER KAVANAGH,2025-08-23,KO/TKO,2.0,4:35,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",Switch,,red,1.0,5.0,8.84,-30.0,-1.0,-1.0,-27.0,-1.82,-20.77,36.36,4.36,0.0,75.0,-14.0,-22.0,35.0,-5.0,-1.0,6.0,,,,,,,,,,,275
JOHNNY WALKER,ZHANG MINGYANG,2025-08-23,KO/TKO,2.0,2:37,5 Rnd (5-5-5-5-5),Light Heavyweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",Orthodox,Orthodox,red,1.0,32.0,25.4,0.0,0.0,0.0,-1.0,50.61,-80.0,0.0,19.23,-16.67,39.19,32.0,-28.0,-4.0,-45.0,-16.0,61.0,10.16,17.78,-3.11,-4.0,-2.56,3.0,0.36,50.0,-18.0,0.7,157
GAUGE YOUNG,MAHESHATE,2025-08-23,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",Orthodox,,blue,0.0,12.0,11.69,50.0,0.0,0.0,219.0,10.79,5.21,-2.38,12.54,-5.71,100.0,-6.0,2.0,4.0,1.0,-2.0,0.0,,,,,,,,,,,300
KYLE DAUKAUS,MICHEL PEREIRA,2025-08-23,KO/TKO,1.0,0:43,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",Southpaw,Orthodox,blue,1.0,12.0,8.33,0.0,0.0,0.0,7.0,62.5,-66.67,0.0,50.0,0.0,57.14,100.0,-100.0,0.0,-80.0,0.0,80.0,2.54,7.62,-1.12,2.0,-1.38,-8.0,0.86,-27.0,4.0,1.4,43
RONGZHU,AUSTIN HUBBARD,2025-08-23,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",,Orthodox,red,0.0,18.0,17.97,-16.0,0.0,0.0,-62.0,16.77,19.44,33.33,18.83,-2.5,0.0,7.0,-20.0,12.0,3.0,-3.0,0.0,,,,,,,,,,,300
SERGEI PAVLOVICH,WALDO CORTES ACOSTA,2025-08-23,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Heavyweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",Southpaw,Orthodox,red,0.0,7.0,7.86,0.0,0.0,0.0,8.0,2.97,45.71,19.65,6.33,50.0,0.0,-3.0,11.0,-9.0,-2.0,1.0,0.0,-2.54,15.24,-0.85,-4.0,-0.05,2.0,0.07,-25.0,2.0,-0.1,300
SUMUDAERJI,KEVIN BORJAS,2025-08-23,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",Southpaw,Orthodox,red,0.0,20.0,15.57,0.0,0.0,0.0,-192.0,20.67,-3.43,22.17,28.34,-10.71,0.0,2.0,-8.0,6.0,29.0,-29.0,0.0,7.62,10.16,0.53,8.0,-2.98,13.0,0.76,37.0,1.0,0.5,300
TAIYILAKE NUERAJI,KIEFER CROSBIE,2025-08-23,KO/TKO,1.0,3:33,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",,,red,0.0,5.0,-17.86,33.0,0.0,0.0,183.0,-28.57,-33.33,0.0,0.0,0.0,71.43,42.0,-43.0,0.0,-93.0,0.0,92.0,,,,,,,,,,,213
URAN SATYBALDIEV,DIYAR NURGOZHAY,2025-08-23,Submission,1.0,2:45,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",,,red,1.0,-41.0,-38.42,-100.0,2.0,1.0,52.0,-8.33,-60.0,0.0,-38.64,0.0,0.0,36.0,-42.0,8.0,0.0,0.0,0.0,,,,,,,,,,,165
SUYOUNG YOU,XIAO LONG,2025-08-23,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",,,blue,0.0,21.0,19.63,0.0,0.0,0.0,-13.0,15.45,57.58,46.67,27.5,0.16,0.0,-2.0,7.0,-5.0,26.0,-26.0,0.0,,,,,,,,,,,300
YIZHA,WESTIN WILSON,2025-08-23,KO/TKO,1.0,0:37,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",,,red,2.0,72.0,73.91,0.0,0.0,0.0,6.0,66.67,0.0,100.0,75.0,66.67,66.67,76.0,0.0,23.0,69.0,15.0,15.0,,,,,,,,,,,37
NYAMJARGAL TUMENDEMBEREL,TERRANCE SAETEURN,2025-08-22,Submission,1.0,2:53,3 Rnd (5-5-5),Flyweight Bout,UFC - Road to UFC 4.6,"Shanghai, Hebei, China",,,red,0.0,7.0,5.29,100.0,1.0,0.0,18.0,19.04,15.87,0.0,0.89,6.67,100.0,27.0,0.0,-27.0,-18.0,0.0,18.0,,,,,,,,,,,173
BRUNA BRASIL,SHI MING,2025-08-22,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC - Road to UFC 4.6,"Shanghai, Hebei, China",,,blue,0.0,17.0,21.64,0.0,1.0,0.0,-232.0,21.02,17.65,58.62,11.75,-12.5,0.0,33.0,-9.0,-25.0,-19.0,19.0,0.0,,,,,,,,,,,300
JOSEPH MORALES,ALIBI IDIRIS,2025-08-16,Submission,2.0,3:04,3 Rnd + OT (5-5-5-5),Ultimate Fighter 33 Flyweight Tournament Title Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Switch,,blue,0.0,-4.0,-9.82,40.0,2.0,-1.0,154.0,8.38,-17.25,0.0,-7.53,0.0,50.0,19.0,-16.0,-4.0,-16.0,10.0,6.0,,,,,,,,,,,184
BAISANGUR SUSURKAEV,ERIC NOLAN,2025-08-16,Submission,2.0,2:01,3 Rnd (5-5-5),Middleweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Orthodox,Orthodox,red,0.0,19.0,24.91,28.0,1.0,0.0,182.0,16.67,-30.0,100.0,14.08,22.23,70.59,-14.0,-3.0,16.0,-20.0,-13.0,33.0,0.0,12.7,4.06,20.0,1.86,14.0,2.09,26.0,56.0,0.8,121
ALEXANDER HERNANDEZ,CHASE HOOPER,2025-08-16,KO/TKO,1.0,4:58,3 Rnd (5-5-5),Lightweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Orthodox,Southpaw,blue,1.0,20.0,21.76,0.0,0.0,0.0,-3.0,28.71,41.67,-75.0,14.7,0.0,80.0,47.0,-18.0,-30.0,-24.0,0.0,23.0,-10.16,-5.08,-0.2,-5.0,0.5,21.0,0.73,28.0,2.0,-2.1,298
KHAMZAT CHIMAEV,DRICUS DU PLESSIS,2025-08-16,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Middleweight Title Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Orthodox,Switch,blue,0.0,34.0,27.12,-30.0,-1.0,0.0,1247.0,36.11,10.0,0.0,23.16,0.0,14.29,-1.0,-7.0,9.0,-44.0,0.0,44.0,2.54,-2.54,-3.71,10.0,-1.18,-15.0,5.32,58.0,87.0,1.4,300
DRAKKAR KLOSE,EDSON BARBOZA,2025-08-16,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Orthodox,Orthodox,blue,0.0,-8.0,10.49,0.0,0.0,0.0,-77.0,4.25,-17.54,7.78,-5.98,-16.41,0.0,30.0,-34.0,4.0,1.0,-1.0,0.0,-5.08,-12.7,-0.09,10.0,-0.39,-7.0,1.12,-14.0,-10.0,-0.1,300
CARLOS PRATES,GEOFF NEAL,2025-08-16,KO/TKO,1.0,4:59,3 Rnd (5-5-5),Welterweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Switch,Southpaw,blue,1.0,2.0,1.33,0.0,0.0,0.0,-15.0,-4.33,33.33,0.0,4.06,-50.0,0.0,-11.0,9.0,1.0,8.0,-8.0,0.0,5.08,7.62,-0.53,5.0,-0.63,-14.0,-0.32,50.0,-15.0,-0.2,299
MICHAL OLEKSIEJCZUK,GERALD MEERSCHAERT,2025-08-16,KO/TKO,1.0,3:03,3 Rnd (5-5-5),Middleweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Southpaw,Southpaw,blue,1.0,27.0,26.35,0.0,0.0,0.0,22.0,24.84,100.0,-50.0,16.73,0.0,60.0,12.0,21.0,-33.0,-53.0,0.0,52.0,-2.54,-7.62,2.78,7.0,1.01,7.0,-0.71,13.0,12.0,-1.5,183
MICHAEL PAGE,JARED CANNONIER,2025-08-16,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",,Switch,blue,0.0,17.0,3.98,-28.0,0.0,0.0,-493.0,20.0,33.33,0.0,26.5,25.0,-75.0,15.0,7.0,-24.0,38.0,-9.0,-30.0,7.62,,0.83,24.0,-2.64,13.0,3.24,67.0,46.0,0.0,300
LOOPY GODINEZ,JESSICA ANDRADE,2025-08-16,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Orthodox,Orthodox,blue,0.0,19.0,19.99,7.0,0.0,0.0,76.0,22.7,17.97,21.43,17.03,31.25,100.0,21.0,-12.0,-9.0,-9.0,7.0,1.0,2.54,-2.54,-1.95,0.0,-1.32,9.0,-0.12,-15.0,0.0,0.4,300
KARINE SILVA,DIONE BARBOSA,2025-08-16,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Orthodox,Orthodox,red,0.0,2.0,7.68,-42.0,1.0,0.0,-175.0,4.26,-14.66,16.67,0.83,20.0,-50.0,7.0,-14.0,7.0,1.0,3.0,-3.0,-2.54,2.54,0.03,-7.0,0.34,-12.0,-0.47,6.0,-37.0,-0.1,300
LERONE MURPHY,AARON PICO,2025-08-16,KO/TKO,1.0,3:21,3 Rnd (5-5-5),Featherweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Orthodox,Orthodox,red,1.0,6.0,6.67,-66.0,1.0,0.0,-121.0,14.01,-33.33,-100.0,9.53,40.0,0.0,-3.0,12.0,-7.0,22.0,-11.0,-11.0,2.54,7.62,-3.3,-11.0,-1.04,18.0,-5.67,-17.0,41.0,0.9,201
TIM ELLIOTT,KAI ASAKURA,2025-08-16,Submission,2.0,4:39,3 Rnd (5-5-5),Flyweight Bout,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",Southpaw,Orthodox,red,0.0,14.0,11.19,66.0,2.0,0.0,113.0,20.34,-31.75,-30.0,13.54,0.0,50.0,-14.0,-7.0,21.0,-4.0,0.0,3.0,-2.54,-7.62,0.98,9.0,-0.34,4.0,3.61,45.0,9.0,1.1,279
ANDRE FILI,CHRISTIAN RODRIGUEZ,2025-08-09,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-12.0,-11.66,46.0,0.0,0.0,7.0,-5.98,-1.54,-8.87,-9.31,-14.58,-100.0,22.0,0.0,-22.0,13.0,-12.0,-1.0,10.16,7.62,-0.01,-13.0,1.61,-7.0,0.43,6.0,4.0,-0.9,300
ERIC MCCONICO,CODY BRUNDAGE,2025-08-09,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,-11.0,-2.19,-42.0,0.0,0.0,-136.0,-14.58,-6.15,33.33,-12.03,-7.37,0.0,-14.0,17.0,-3.0,0.0,0.0,0.0,0.0,12.7,0.42,-5.0,0.1,-5.0,-1.16,59.0,2.0,-0.5,300
ELIJAH SMITH,TOSHIOMI KAZAMA,2025-08-09,KO/TKO,1.0,4:10,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",,,red,0.0,80.0,-17.57,-100.0,-1.0,0.0,224.0,79.55,100.0,0.0,33.33,0.0,83.72,94.0,5.0,0.0,2.0,0.0,97.0,,,,,,,,,,,250
CHRISTIAN LEROY DUNCAN,ERYK ANDERS,2025-08-09,KO/TKO,1.0,3:53,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",,Southpaw,blue,1.0,-3.0,-16.3,-33.0,0.0,0.0,-39.0,6.05,-25.0,-7.69,9.61,0.0,33.33,9.0,-45.0,36.0,26.0,-30.0,4.0,,,,,,,,,,,233
GABRIELLA FERNANDES,JULIJA STOLIARENKO,2025-08-09,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",,,red,0.0,14.0,13.43,0.0,0.0,0.0,-74.0,17.83,23.24,16.67,15.43,-21.43,0.0,19.0,4.0,-22.0,7.0,-7.0,0.0,,,,,,,,,,,300
IASMIN LUCINDO,ANGELA HILL,2025-08-09,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,-11.0,-8.54,42.0,-1.0,0.0,258.0,-6.25,-19.45,0.0,-12.67,-1.96,100.0,12.0,-13.0,1.0,-2.0,-3.0,5.0,,,,,,,,,,,300
JOSELYNE EDWARDS,PRISCILA CACHOEIRA,2025-08-09,KO/TKO,1.0,2:24,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,1.0,23.0,23.09,0.0,0.0,0.0,1.0,23.26,-50.0,0.0,21.14,0.0,100.0,-22.0,14.0,8.0,-8.0,0.0,7.0,2.54,12.7,0.26,9.0,-4.19,5.0,0.92,-14.0,-7.0,0.6,144
JULIUS WALKER,RAFAEL CERQUEIRA,2025-08-09,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",Orthodox,,red,1.0,25.0,24.44,60.0,0.0,0.0,679.0,19.93,90.0,0.0,23.99,44.44,81.48,-19.0,20.0,-1.0,-60.0,9.0,50.0,,,,,,,,,,,300
JEAN MATSUMOTO,MILES JOHNS,2025-08-09,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,-5.0,-2.82,-62.0,2.0,1.0,-136.0,-10.56,-21.26,-45.71,-5.73,26.39,0.0,-33.0,14.0,19.0,-2.0,2.0,0.0,-2.54,5.08,2.02,-10.0,2.87,-19.0,1.64,12.0,-31.0,0.5,300
ANTHONY HERNANDEZ,ROMAN DOLIDZE,2025-08-09,Submission,4.0,2:45,5 Rnd (5-5-5-5-5),Middleweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,26.0,28.72,81.0,1.0,0.0,423.0,23.93,63.64,12.5,13.4,38.89,93.75,4.0,-5.0,0.0,-42.0,9.0,32.0,-5.08,-2.54,1.94,4.0,3.34,-14.0,2.01,16.0,37.0,-0.3,165
STEVE ERCEG,ODE OSBOURNE,2025-08-09,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",Orthodox,Southpaw,red,0.0,-10.0,-5.25,-20.0,1.0,-1.0,218.0,-13.93,33.77,-78.57,-14.74,-25.0,0.0,-7.0,39.0,-31.0,-22.0,28.0,-4.0,2.54,-12.7,0.34,-7.0,1.03,13.0,-0.77,-72.0,1.0,-1.5,300
UROS MEDIC,GILBERT URBINA,2025-08-09,KO/TKO,1.0,1:03,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",Southpaw,,red,0.0,5.0,10.0,0.0,0.0,0.0,-1.0,7.14,50.0,-100.0,-7.14,100.0,100.0,20.0,0.0,-20.0,-40.0,20.0,20.0,,,,,,,,,,,63
AUSTIN BASHI,JOHN YANNIS,2025-08-02,Submission,1.0,3:39,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",,Southpaw,red,0.0,28.0,49.42,100.0,1.0,0.0,173.0,28.57,0.0,0.0,33.33,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,219
KEVIN VALLEJOS,DANNY SILVA,2025-08-02,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",,,blue,0.0,-3.0,-4.32,29.0,0.0,0.0,52.0,-5.17,-4.74,25.0,-5.17,50.0,0.0,-7.0,13.0,-5.0,-8.0,9.0,0.0,,,,,,,,,,,300
ESTEBAN RIBOVICS,ELVES BRENER,2025-08-02,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",Orthodox,,blue,0.0,-4.0,-4.74,0.0,0.0,0.0,62.0,-4.8,14.09,-25.33,-5.04,0.0,61.54,-4.0,6.0,-2.0,-7.0,0.0,6.0,,,,,,,,,,,300
KAROL ROSA,NORA CORNOLLE,2025-08-02,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,-1.0,8.29,66.0,2.0,0.0,685.0,7.74,-25.0,-13.33,-7.22,9.09,76.47,20.0,4.0,-23.0,-20.0,-19.0,39.0,,,,,,,,,,,300
CHRIS DUNCAN,MATEUSZ REBECKI,2025-08-02,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,-1.0,-2.02,-33.0,0.0,0.0,-56.0,-0.43,3.29,-16.67,-0.9,-3.41,0.0,-5.0,15.0,-11.0,1.0,-1.0,0.0,7.62,12.7,0.04,-1.0,0.21,-4.0,-0.13,-8.0,2.0,0.2,300
NEIL MAGNY,ELIZEU ZALESKI DOS SANTOS,2025-08-02,KO/TKO,2.0,4:39,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,15.0,9.93,46.0,0.0,0.0,-201.0,41.47,20.0,-84.62,-0.55,25.0,95.24,65.0,-11.0,-55.0,-40.0,-8.0,47.0,10.16,17.78,-0.38,8.0,-1.02,-3.0,1.89,28.0,5.0,-0.2,279
ANDREY PULYAEV,NICK KLEIN,2025-08-02,KO/TKO,2.0,1:31,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",Southpaw,,blue,1.0,27.0,21.37,-57.0,-1.0,0.0,-283.0,29.72,26.39,0.0,39.4,11.82,100.0,15.0,-16.0,0.0,22.0,-31.0,8.0,,,,,,,,,,,91
PIERA RODRIGUEZ,KETLEN SOUZA,2025-08-02,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,-12.0,-14.5,70.0,0.0,0.0,175.0,-9.85,-14.76,-32.54,-14.07,-6.06,0.0,-8.0,18.0,-10.0,-10.0,11.0,0.0,,,,,,,,,,,300
RAFAEL ESTEVAM,FELIPE BUNES,2025-08-02,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,1.0,12.08,55.0,-2.0,0.0,639.0,5.54,-9.74,0.0,-2.44,50.0,58.33,9.0,-4.0,-5.0,-21.0,0.0,21.0,,,,,,,,,,,300
RINYA NAKAMURA,NATHAN FLETCHER,2025-08-02,KO/TKO,1.0,1:02,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",,,red,1.0,21.0,20.3,0.0,0.0,0.0,2.0,46.15,0.0,60.0,10.47,0.0,100.0,50.0,0.0,-50.0,-34.0,0.0,33.0,,,,,,,,,,,62
RODOLFO VIEIRA,TRESEAN GORE,2025-08-02,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",Orthodox,Switch,red,0.0,20.0,16.8,7.0,0.0,0.0,192.0,18.22,48.0,6.25,20.17,50.0,0.0,4.0,15.0,-19.0,-3.0,2.0,0.0,0.0,-5.08,0.02,5.0,-2.72,9.0,0.96,-50.0,-23.0,-0.1,300
TATSURO TAIRA,HYUNSUNG PARK,2025-08-02,Submission,2.0,1:06,5 Rnd (5-5-5-5-5),Flyweight Bout,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",Orthodox,,red,1.0,30.0,-6.43,80.0,1.0,0.0,281.0,43.33,0.0,33.33,28.57,0.0,-25.0,52.0,0.0,-52.0,-9.0,0.0,9.0,,,,,,,,,,,66
TABATHA RICCI,AMANDA RIBAS,2025-07-26,KO/TKO,2.0,2:59,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,Orthodox,blue,0.0,3.0,-4.54,-8.0,0.0,0.0,233.0,6.75,-23.33,5.55,-9.86,55.0,100.0,7.0,1.0,-9.0,-38.0,8.0,29.0,-5.08,-12.7,-0.25,-7.0,3.05,-14.0,0.2,-21.0,-20.0,-1.5,179
ASU ALMABAYEV,JOSE OCHOA,2025-07-26,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,Southpaw,red,0.0,-5.0,-17.04,-57.0,0.0,0.0,510.0,4.04,-26.77,37.5,13.48,-25.0,37.5,24.0,-28.0,3.0,-6.0,-21.0,27.0,-7.62,-5.08,-2.88,4.0,-1.05,-5.0,4.44,20.0,-21.0,0.5,300
BRYCE MITCHELL,SAID NURMAGOMEDOV,2025-07-26,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Southpaw,Orthodox,red,-1.0,3.0,-2.9,33.0,-1.0,-1.0,391.0,-4.17,-36.36,33.33,-22.97,55.56,-60.0,-42.0,28.0,13.0,-27.0,56.0,-30.0,5.08,0.0,-2.46,13.0,-0.86,-2.0,2.67,29.0,-33.0,1.3,300
DAVEY GRANT,DA'MON BLACKSHEAR,2025-07-26,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,,red,0.0,6.0,3.47,-20.0,-1.0,0.0,-213.0,-1.3,15.38,4.17,7.72,0.0,-100.0,-11.0,19.0,-9.0,5.0,-2.0,-3.0,,,,,,,,,,,300
BILLY ELEKANA,IBO ASLAN,2025-07-26,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,blue,0.0,16.0,15.22,0.0,0.0,0.0,0.0,21.59,0.95,-90.91,15.57,0.0,0.0,16.0,20.0,-35.0,0.0,0.0,0.0,,,,,,,,,,,300
MARTIN BUDAY,MARCUS BUCHECHA,2025-07-26,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Heavyweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,Orthodox,red,0.0,7.0,4.19,-9.0,0.0,1.0,-134.0,10.11,28.57,85.71,16.65,-8.33,-83.33,15.0,-29.0,14.0,21.0,-16.0,-6.0,,,,,,,,,,,300
STEVEN NGUYEN,MOHAMMAD YAHYA,2025-07-26,KO/TKO,2.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Switch,,blue,6.0,15.0,16.71,0.0,0.0,0.0,158.0,16.18,33.33,35.71,7.3,100.0,62.5,11.0,-20.0,10.0,-46.0,7.0,38.0,,,,,,,,,,,300
MUSLIM SALIKHOV,CARLOS LEAL,2025-07-26,KO/TKO,1.0,0:42,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,,red,1.0,-22.0,-22.23,0.0,0.0,0.0,0.0,-30.56,25.0,100.0,-29.17,0.0,0.0,-67.0,33.0,33.0,0.0,0.0,0.0,,,,,,,,,,,42
BOGDAN GUSKOV,NIKITA KRYLOV,2025-07-26,KO/TKO,1.0,4:18,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,Orthodox,blue,1.0,6.0,11.27,0.0,0.0,0.0,17.0,20.0,40.0,22.22,-4.75,0.0,70.59,49.0,-14.0,-35.0,-53.0,0.0,52.0,,,,,,,,,,,258
PETR YAN,MARCUS MCGHEE,2025-07-26,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Switch,Orthodox,red,0.0,18.0,26.21,33.0,0.0,0.0,161.0,17.26,38.89,16.67,13.3,31.88,0.0,9.0,0.0,-9.0,-25.0,25.0,0.0,-2.54,-5.08,0.55,9.0,-0.09,6.0,1.9,55.0,0.0,-0.1,300
