fighter_name,height,weight,reach,stance,date_of_birth,slpm,str_acc,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_def,sub_avg,str_acc_num,takedowns_acc_num,weight_lbs,reach_inches
Anthony Do,"5' 4""",125 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,125.0,
Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,1986-08-13,1.75,40%,1.68,53%,2.11,45%,52%,0.8,40.0,45.0,135.0,70.0
David Dodd,"6' 2""",200 lbs.,,Orthodox,1973-09-22,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,200.0,
Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,1988-10-19,4.33,40%,3.87,54%,0.8,17%,55%,0.1,40.0,17.0,155.0,70.0
Shana Dobson,"5' 6""",125 lbs.,"69""",Orthodox,1989-03-30,3.34,37%,5.2,50%,0.84,50%,14%,0.0,37.0,50.0,125.0,69.0
Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,1977-10-09,1.43,42%,2.79,50%,2.02,33%,33%,2.3,42.0,33.0,185.0,75.0
Mike Dolce,"5' 11""",185 lbs.,,,1976-04-15,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,185.0,
John Dodson,"5' 3""",135 lbs.,"66""",Orthodox,1984-09-26,3.2,40%,3.58,61%,0.71,28%,82%,0.0,40.0,28.0,135.0,66.0
Cameron Dollar,"5' 11""",155 lbs.,,Orthodox,1987-05-12,5.04,38%,2.94,61%,0.0,0%,0%,0.0,38.0,0.0,155.0,
OJ Dominguez,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,,
John Donaldson,"5' 8""",145 lbs.,,,1992-07-09,1.21,23%,4.22,51%,0.0,0%,0%,0.0,23.0,0.0,145.0,
CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,1983-08-10,2.65,47%,2.58,54%,3.55,54%,62%,1.2,47.0,54.0,185.0,76.0
Dennis Dombrow,,145 lbs.,,,1986-03-17,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,1981-02-20,5.61,59%,5.44,45%,1.67,28%,0%,1.7,59.0,28.0,205.0,74.0
Houston Dorr,"6' 1""",210 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,210.0,
Roman Dolidze,"6' 2""",205 lbs.,"76""",Orthodox,1988-07-15,2.98,51%,1.75,61%,1.75,50%,33%,2.2,51.0,50.0,205.0,76.0
Geronimo dos Santos,"6' 3""",264 lbs.,,Orthodox,1980-08-17,1.09,33%,8.73,41%,0.0,0%,33%,0.0,33.0,0.0,264.0,
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,1985-07-24,2.66,28%,4.8,55%,1.3,18%,66%,0.9,28.0,18.0,135.0,70.0
Antonio Dos Santos,"5' 10""",185 lbs.,,Orthodox,1988-07-21,5.4,51%,3.94,43%,0.0,0%,100%,0.0,51.0,0.0,185.0,
