fighter_name,height,weight,reach,stance,date_of_birth,slpm,str_acc,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_def,sub_avg,str_acc_num,takedowns_acc_num,weight_lbs,reach_inches
Young Sam Jung,"5' 8""",139 lbs.,,Orthodox,1985-10-27,0.53,9%,2.79,63%,0.0,0%,0%,2.0,9.0,0.0,139.0,
Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,1987-03-17,4.15,41%,4.01,56%,0.62,41%,75%,0.5,41.0,41.0,145.0,72.0
Da-Un Jung,"6' 4""",205 lbs.,"78""",Orthodox,1993-12-07,5.06,43%,5.38,55%,0.0,0%,83%,0.5,43.0,0.0,205.0,78.0
Scott Junk,"6' 1""",265 lbs.,,Orthodox,1978-12-17,5.13,60%,1.81,45%,0.0,0%,0%,0.0,60.0,0.0,265.0,
Myles Jury,"5' 10""",145 lbs.,"73""",Orthodox,1988-10-31,2.94,42%,2.16,66%,2.16,55%,50%,0.3,42.0,55.0,145.0,73.0
Cristiane Justino,"5' 8""",145 lbs.,"68""",Orthodox,1985-07-09,7.28,52%,2.25,64%,0.66,55%,94%,0.4,52.0,55.0,145.0,68.0
Oron Kahlon,"5' 8""",145 lbs.,,,1981-01-03,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Patrick Kaase,"5' 9""",185 lbs.,,,,4.4,67%,0.53,50%,0.0,0%,50%,0.0,67.0,0.0,185.0,
Emily Kagan,"5' 3""",115 lbs.,,,1981-07-14,2.6,36%,5.29,38%,1.86,14%,50%,0.0,36.0,14.0,115.0,
Sirwan Kakai,"5' 5""",135 lbs.,,Orthodox,1989-10-03,3.57,41%,4.63,62%,4.0,42%,83%,0.0,41.0,42.0,135.0,
Bryson Kamaka,"5' 11""",170 lbs.,,Orthodox,,9.47,60%,12.63,0%,0.0,0%,100%,0.0,60.0,0.0,170.0,
Geza Kalman,"6' 1""",200 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,200.0,
Kai Kamaka,"5' 7""",145 lbs.,"69""",Orthodox,1995-01-05,6.58,60%,6.74,49%,3.68,75%,37%,0.6,60.0,75.0,145.0,69.0
Martin Kampmann,"6' 0""",170 lbs.,"72""",Orthodox,1982-04-17,3.22,42%,3.28,62%,1.86,41%,78%,2.0,42.0,41.0,170.0,72.0
Masanori Kanehara,"5' 7""",135 lbs.,"67""",Orthodox,1982-11-19,1.88,49%,1.63,62%,1.44,50%,63%,0.9,49.0,50.0,135.0,67.0
Hiromitsu Kanehara,"5' 10""",200 lbs.,,Orthodox,1970-10-05,0.76,22%,4.39,40%,0.0,0%,40%,0.4,22.0,0.0,200.0,
Ken Kaneko,"6' 0""",161 lbs.,,Orthodox,,0.0,0%,0.94,42%,0.0,0%,0%,3.5,0.0,0.0,161.0,
Kyung Ho Kang,"5' 9""",135 lbs.,"73""",Orthodox,1987-09-09,2.52,44%,2.43,58%,2.53,59%,71%,1.1,44.0,59.0,135.0,73.0
Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,1987-06-20,0.7,10%,1.88,72%,0.0,0%,0%,0.0,10.0,0.0,135.0,72.0
Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,1977-09-17,2.27,35%,1.65,67%,2.51,65%,38%,1.2,35.0,65.0,185.0,77.0
Manel Kape,"5' 5""",125 lbs.,"68""",Southpaw,1993-11-14,3.67,45%,4.3,48%,1.0,28%,80%,0.0,45.0,28.0,125.0,68.0
David Kaplan,"5' 7""",155 lbs.,,Orthodox,1979-11-16,2.88,46%,4.32,67%,4.88,43%,0%,0.7,46.0,43.0,155.0,
Yusuke Kasuya,"5' 7""",155 lbs.,,Southpaw,1989-11-16,2.17,44%,4.34,48%,1.36,33%,0%,0.0,44.0,33.0,155.0,
Georgi Karakhanyan,"5' 8""",145 lbs.,,,1985-05-29,4.49,39%,5.0,54%,1.41,50%,33%,1.9,39.0,50.0,145.0,
Tetsuji Kato,,155 lbs.,,Orthodox,,1.2,29%,2.1,70%,2.0,57%,80%,0.5,29.0,57.0,155.0,
Impa Kasanganay,"5' 11""",185 lbs.,"75""",Orthodox,1994-01-17,5.36,49%,3.52,60%,1.44,83%,63%,0.0,49.0,83.0,185.0,75.0
Kai Kara-France,"5' 4""",125 lbs.,"69""",Orthodox,1993-03-26,5.02,39%,3.84,66%,0.53,23%,86%,0.0,39.0,23.0,125.0,69.0
Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,1977-09-20,2.57,42%,2.39,54%,2.7,45%,86%,0.9,42.0,45.0,155.0,66.0
Nadia Kassem,"5' 5""",125 lbs.,"66""",Southpaw,1995-11-15,3.13,41%,4.48,48%,0.46,33%,40%,2.8,41.0,33.0,125.0,66.0
Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,1991-12-19,3.33,51%,2.98,57%,1.25,22%,47%,0.0,51.0,22.0,135.0,64.0
Hisaki Kato,"6' 0""",185 lbs.,,,1982-09-17,2.8,48%,1.72,68%,1.62,100%,0%,0.0,48.0,100.0,185.0,
Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,1988-03-26,5.07,42%,8.16,50%,0.37,30%,89%,0.0,42.0,30.0,145.0,72.0
Canaan Kawaihae,"6' 0""",145 lbs.,,Southpaw,1997-08-26,2.33,72%,5.4,34%,0.0,0%,100%,0.0,72.0,0.0,145.0,
Sarah Kaufman,"5' 5""",135 lbs.,"66""",Orthodox,1985-09-20,6.65,46%,4.0,62%,0.38,57%,81%,0.0,46.0,57.0,135.0,66.0
Ryo Kawamura,"5' 11""",205 lbs.,,Orthodox,1981-06-29,0.6,16%,3.93,39%,0.0,0%,6%,0.0,16.0,0.0,205.0,
Yusuke Kawaguchi,"6' 0""",255 lbs.,,,1980-08-14,2.87,47%,3.93,50%,0.0,0%,72%,0.0,47.0,0.0,255.0,
Tatsuya Kawajiri,"5' 7""",145 lbs.,"69""",Orthodox,1978-05-08,2.04,44%,2.01,50%,3.63,48%,63%,1.1,44.0,48.0,145.0,69.0
Doug Kay,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,,
Ryan Keenan,"5' 10""",170 lbs.,,,1985-06-15,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Julie Kedzie,"5' 5""",135 lbs.,,Orthodox,1981-03-18,2.9,36%,3.18,46%,1.14,23%,78%,0.0,36.0,23.0,135.0,
CJ Keith,"6' 0""",155 lbs.,,Orthodox,1986-08-09,0.86,50%,1.82,50%,0.0,0%,62%,0.0,50.0,0.0,155.0,
Brian Kelleher,"5' 6""",145 lbs.,"66""",Switch,1986-08-19,3.92,39%,5.47,53%,1.0,25%,59%,0.7,39.0,25.0,145.0,66.0
Mayana Kellem,"5' 5""",135 lbs.,,Orthodox,1981-07-07,1.94,22%,2.9,62%,0.0,0%,0%,0.0,22.0,0.0,135.0,
Chris Kelades,"5' 7""",125 lbs.,"68""",Orthodox,1981-02-21,2.4,43%,2.64,48%,1.04,18%,53%,0.3,43.0,18.0,125.0,68.0
John Kelly,"5' 9""",170 lbs.,,,1978-08-02,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Waylon Kennell,"6' 0""",185 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,185.0,
Jeremy Kennedy,"5' 11""",145 lbs.,"71""",Orthodox,1992-09-16,2.22,46%,2.58,47%,5.73,52%,66%,0.0,46.0,52.0,145.0,71.0
Tony Kelley,"5' 9""",135 lbs.,"70""",Switch,1987-01-21,4.57,47%,4.77,43%,0.0,0%,50%,2.0,47.0,0.0,135.0,70.0
Daniel Kelly,"6' 0""",185 lbs.,"70""",Southpaw,1977-10-31,3.62,38%,4.64,61%,1.86,34%,78%,0.3,38.0,34.0,185.0,70.0
Paul Kelly,"5' 9""",155 lbs.,"70""",Orthodox,1984-09-12,3.22,37%,2.61,59%,1.34,60%,30%,1.5,37.0,60.0,155.0,70.0
Steve Kennedy,"5' 11""",170 lbs.,,Orthodox,1983-03-07,2.28,35%,5.52,45%,2.51,33%,0%,0.0,35.0,33.0,170.0,
Tim Kennedy,"5' 11""",185 lbs.,"74""",Orthodox,1979-09-01,2.78,47%,1.84,62%,2.58,35%,70%,0.7,47.0,35.0,185.0,74.0
Aurelijus Kerpe,,,,Orthodox,,1.26,16%,8.21,31%,0.0,0%,0%,0.0,16.0,0.0,,
Ron Keslar,,185 lbs.,,,,0.0,0%,2.05,60%,0.0,0%,100%,7.7,0.0,0.0,185.0,
Casey Kenney,"5' 7""",140 lbs.,"68""",Southpaw,1991-03-20,4.81,42%,4.3,59%,1.1,39%,59%,0.5,42.0,39.0,140.0,68.0
Will Kerr,"5' 10""",155 lbs.,"69""",Orthodox,1982-10-21,1.91,42%,6.22,33%,0.0,0%,0%,14.3,42.0,0.0,155.0,69.0
Sergey Khandozhko,"6' 1""",170 lbs.,"74""",Orthodox,1992-05-19,2.83,42%,1.7,60%,0.5,16%,64%,0.0,42.0,16.0,170.0,74.0
Rustam Khabilov,"5' 8""",155 lbs.,"73""",Orthodox,1986-11-04,1.98,34%,2.16,65%,3.95,41%,61%,0.1,34.0,41.0,155.0,73.0
Adam Khaliev,"6' 0""",170 lbs.,,Orthodox,1984-04-16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Mark Kerr,"6' 3""",266 lbs.,,Switch,1968-12-21,0.28,41%,0.89,28%,2.92,77%,0%,0.4,41.0,77.0,266.0,
Sergei Kharitonov,"6' 0""",245 lbs.,,Orthodox,1980-08-18,3.9,44%,3.03,54%,1.16,53%,70%,1.0,44.0,53.0,245.0,
Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,1988-07-17,6.14,42%,6.38,40%,3.54,25%,0%,0.0,42.0,25.0,135.0,70.0
Akira Kikuchi,"5' 8""",155 lbs.,,Orthodox,1978-07-23,3.67,56%,0.4,14%,2.0,40%,100%,0.0,56.0,40.0,155.0,
Sanae Kikuta,"5' 9""",200 lbs.,,Orthodox,1971-09-10,0.7,45%,0.9,52%,1.6,63%,25%,1.8,45.0,63.0,200.0,
Aliaskhab Khizriev,"5' 9""",185 lbs.,"74""",Southpaw,1990-08-24,6.0,83%,3.6,66%,18.0,50%,0%,18.0,83.0,50.0,185.0,74.0
Katsunori Kikuno,"5' 8""",145 lbs.,"66""",Orthodox,1981-10-31,2.64,40%,2.47,61%,1.88,75%,76%,0.8,40.0,75.0,145.0,66.0
Jacob Kilburn,"5' 9""",145 lbs.,"72""",Orthodox,1995-06-28,2.56,33%,6.78,35%,0.51,5%,20%,0.5,33.0,5.0,145.0,72.0
Pannie Kianzad,"5' 7""",135 lbs.,"66""",Orthodox,1991-12-08,5.14,49%,3.62,57%,0.22,14%,83%,0.2,49.0,14.0,135.0,66.0
Jin Oh Kim,"5' 9""",205 lbs.,,Orthodox,,5.06,25%,8.43,50%,0.0,0%,66%,0.0,25.0,0.0,205.0,
Dae Won Kim,"5' 11""",180 lbs.,,Orthodox,,1.75,32%,2.51,36%,3.43,42%,0%,0.0,32.0,42.0,180.0,
Jong Man Kim,"5' 7""",139 lbs.,,Orthodox,1978-03-03,1.33,21%,3.0,60%,0.0,0%,0%,0.0,21.0,0.0,139.0,
Jong Won Kim,"5' 7""",139 lbs.,,Orthodox,,0.84,15%,3.28,63%,2.81,100%,0%,0.0,15.0,100.0,139.0,
Jong Wang Kim,"6' 1""",240 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,240.0,
Dong Hyun Kim,"6' 2""",170 lbs.,"76""",Southpaw,1981-11-17,2.12,49%,1.89,58%,2.93,43%,71%,0.6,49.0,43.0,170.0,76.0
Min Soo Kim,"6' 1""",255 lbs.,,Southpaw,1975-01-22,0.87,100%,3.48,20%,0.0,0%,0%,0.0,100.0,0.0,255.0,
Ji Yeon Kim,"5' 7""",125 lbs.,"72""",Orthodox,1989-10-18,4.5,34%,4.94,57%,0.0,0%,42%,0.0,34.0,0.0,125.0,72.0
Jeremy Kimball,"6' 0""",205 lbs.,"72""",Switch,1991-01-03,2.81,46%,3.84,49%,1.41,20%,50%,0.0,46.0,20.0,205.0,72.0
Dustin Kimura,"5' 7""",135 lbs.,"71""",Orthodox,1989-05-21,1.33,21%,3.82,51%,0.93,37%,50%,2.2,21.0,37.0,135.0,71.0
Mike King,"6' 3""",185 lbs.,,,1983-08-04,4.44,58%,1.29,72%,1.75,25%,40%,3.5,58.0,25.0,185.0,
Taiei Kin,"5' 11""",185 lbs.,,Orthodox,1970-07-08,2.71,60%,1.33,52%,0.0,0%,55%,0.0,60.0,0.0,185.0,
Rob Kimmons,"5' 10""",185 lbs.,"73""",Orthodox,1981-01-30,1.86,48%,4.79,38%,2.08,46%,25%,2.4,48.0,46.0,185.0,73.0
Kamuela Kirk,"5' 10""",145 lbs.,"75""",Switch,1994-04-13,5.31,57%,12.25,21%,2.89,40%,100%,0.0,57.0,40.0,145.0,75.0
Kyle Kingsbury,"6' 4""",205 lbs.,"79""",Orthodox,1982-03-22,2.97,40%,3.81,51%,2.64,41%,52%,0.0,40.0,41.0,205.0,79.0
Yurij Kiseliov,"5' 8""",185 lbs.,,Orthodox,,4.88,87%,0.0,0%,0.0,0%,50%,0.0,87.0,0.0,185.0,
Justine Kish,"5' 5""",125 lbs.,"64""",Orthodox,1988-04-13,4.65,48%,4.62,59%,1.01,35%,55%,0.2,48.0,35.0,125.0,64.0
Ludovit Klein,"5' 7""",155 lbs.,"72""",Southpaw,1995-02-22,7.11,69%,3.16,42%,0.0,0%,0%,0.0,69.0,0.0,155.0,72.0
Koji Kitao,"6' 7""",350 lbs.,,Southpaw,1963-10-12,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,350.0,
Satoru Kitaoka,"5' 6""",154 lbs.,,,1980-02-04,0.68,33%,2.15,45%,0.62,10%,27%,2.1,33.0,10.0,154.0,
Seth Kleinbeck,"6' 2""",185 lbs.,,,1973-07-25,2.55,33%,2.42,40%,0.98,25%,90%,0.0,33.0,25.0,185.0,
Michael Knaap,"6' 2""",220 lbs.,,Orthodox,1984-02-27,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,220.0,
Stefan Klever,,185 lbs.,,Orthodox,,0.82,50%,3.84,58%,0.0,0%,0%,0.0,50.0,0.0,185.0,
Drakkar Klose,"5' 9""",155 lbs.,"70""",Orthodox,1988-03-09,3.89,53%,3.64,53%,1.56,30%,68%,0.0,53.0,30.0,155.0,70.0
Kevin Knabjian,"5' 10""",170 lbs.,,Orthodox,1984-07-05,0.0,0%,15.56,22%,0.0,0%,100%,0.0,0.0,0.0,170.0,
Isao Kobayashi,"5' 8""",145 lbs.,,,1988-10-28,1.01,33%,1.66,45%,2.17,100%,100%,0.0,33.0,100.0,145.0,
Kelly Kobold,"5' 6""",135 lbs.,,Orthodox,1983-02-25,2.33,21%,4.11,59%,1.67,11%,0%,0.0,21.0,11.0,135.0,
William Knight,"5' 10""",205 lbs.,"73""",Orthodox,1988-04-03,4.69,76%,2.88,33%,3.76,66%,63%,0.5,76.0,66.0,205.0,73.0
Jason Knight,"5' 10""",145 lbs.,"71""",Orthodox,1992-07-14,2.95,33%,3.02,51%,1.31,31%,47%,1.7,33.0,31.0,145.0,71.0
Sokun Koh,"6' 1""",205 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,205.0,
Shingo Kohara,"5' 6""",135 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,135.0,
Erik Koch,"5' 10""",170 lbs.,"71""",Southpaw,1988-10-04,2.33,42%,2.82,47%,1.02,42%,81%,1.0,42.0,42.0,170.0,71.0
Brad Kohler,"5' 9""",220 lbs.,,Orthodox,1964-05-26,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,220.0,
John Kolosci,"5' 11""",185 lbs.,,Orthodox,1974-11-26,0.21,20%,0.85,50%,0.0,0%,0%,0.0,20.0,0.0,185.0,
Tsuyoshi Kohsaka,"5' 11""",225 lbs.,,Orthodox,1970-03-06,1.88,38%,4.41,54%,1.32,20%,33%,0.4,38.0,20.0,225.0,
Charlie Kohler,"5' 9""",155 lbs.,,Orthodox,1976-07-16,0.81,33%,4.31,46%,0.0,0%,0%,4.0,33.0,0.0,155.0,
Syuri Kondo,"5' 4""",115 lbs.,"66""",Orthodox,1989-02-08,5.4,44%,7.22,58%,0.0,0%,83%,0.3,44.0,0.0,115.0,66.0
Yuki Kondo,"5' 11""",183 lbs.,,Southpaw,1975-07-17,1.14,42%,2.57,51%,0.76,41%,37%,0.5,42.0,41.0,183.0,
Andrei Kopylov,"6' 2""",265 lbs.,,Orthodox,1965-07-16,0.33,66%,4.31,40%,0.0,0%,0%,0.0,66.0,0.0,265.0,
Cheick Kongo,"6' 4""",240 lbs.,"82""",Orthodox,1975-05-17,3.33,56%,1.28,54%,2.3,56%,52%,0.2,56.0,56.0,240.0,82.0
Roman Kopylov,"6' 0""",185 lbs.,"75""",Southpaw,1991-05-04,2.64,38%,3.07,63%,0.0,0%,66%,0.0,38.0,0.0,185.0,75.0
Andrey Koreshkov,"6' 0""",170 lbs.,,,1990-08-23,2.84,39%,1.92,63%,4.8,53%,0%,0.0,39.0,53.0,170.0,
Matt Kovacs,"6' 0""",244 lbs.,,Orthodox,,1.47,22%,4.87,44%,1.0,25%,0%,0.0,22.0,25.0,244.0,
Ilya Kotau,,170 lbs.,,,,3.94,40%,4.38,44%,6.57,100%,100%,6.6,40.0,100.0,170.0,
Marcus Kowal,,135 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,135.0,
Naoyuki Kotani,"5' 8""",155 lbs.,"66""",Southpaw,1981-12-08,1.02,31%,2.89,50%,0.83,16%,46%,0.8,31.0,16.0,155.0,66.0
Iouri Kotchkine,"6' 2""",235 lbs.,,Orthodox,,0.67,38%,4.92,15%,0.0,0%,25%,0.0,38.0,0.0,235.0,
Josh Koscheck,"5' 10""",170 lbs.,"73""",Orthodox,1977-11-30,1.79,36%,2.27,63%,2.46,48%,64%,0.4,36.0,48.0,170.0,73.0
Karolina Kowalkiewicz,"5' 3""",115 lbs.,"64""",Orthodox,1985-10-15,5.27,39%,5.65,56%,0.1,12%,75%,0.1,39.0,12.0,115.0,64.0
Steve Kozola,,155 lbs.,,,,3.9,39%,4.36,50%,2.34,100%,100%,0.0,39.0,100.0,155.0,
Derrick Krantz,"5' 10""",170 lbs.,"72""",Orthodox,1988-01-13,2.07,37%,4.03,50%,3.18,50%,0%,0.8,37.0,50.0,170.0,72.0
Jorgen Kruth,"6' 2""",205 lbs.,,,1974-05-08,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,205.0,
James Krause,"6' 2""",170 lbs.,"73""",Orthodox,1986-06-04,4.79,49%,4.11,61%,0.96,18%,59%,0.9,49.0,18.0,170.0,73.0
Rene Kronvold,"5' 8""",170 lbs.,,Orthodox,,0.82,100%,2.47,60%,0.0,0%,66%,4.1,100.0,0.0,170.0,
Pascal Krauss,"6' 1""",170 lbs.,,Orthodox,1987-04-19,5.45,47%,3.88,59%,1.53,50%,60%,0.9,47.0,50.0,170.0,
Nikita Krylov,"6' 3""",205 lbs.,"77""",Orthodox,1992-03-07,4.33,56%,2.52,43%,1.34,33%,55%,1.3,56.0,33.0,205.0,77.0
Mariusz Ksiazkiewicz,"6' 3""",185 lbs.,"75""",Southpaw,1989-10-04,0.93,45%,3.4,39%,4.0,100%,0%,2.0,45.0,100.0,185.0,75.0
Junya Kudo,,135 lbs.,,Orthodox,,1.85,71%,4.44,33%,0.0,0%,0%,0.0,71.0,0.0,135.0,
Anton Kuivanen,"5' 8""",155 lbs.,"72""",Orthodox,1984-05-01,2.27,38%,1.63,67%,1.2,100%,71%,0.4,38.0,100.0,155.0,72.0
Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,1984-05-02,3.67,44%,2.83,63%,0.25,33%,80%,0.0,44.0,33.0,170.0,70.0
John Kuhner,,170 lbs.,,,1982-10-12,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Maiju Kujala,,135 lbs.,,,,2.5,40%,5.5,36%,0.0,0%,50%,0.0,40.0,0.0,135.0,
Michael Kuiper,"6' 0""",185 lbs.,"73""",Orthodox,1989-06-07,3.28,54%,3.62,54%,2.3,55%,79%,0.0,54.0,55.0,185.0,73.0
Keigo Kunihara,"6' 0""",235 lbs.,,Orthodox,,0.17,10%,1.99,57%,4.97,40%,100%,2.5,10.0,40.0,235.0,
Kiichi Kunimoto,"5' 10""",170 lbs.,"71""",Orthodox,1981-05-01,1.87,44%,3.92,41%,1.59,20%,28%,0.3,44.0,20.0,170.0,71.0
Leo Kuntz,"5' 10""",155 lbs.,,Orthodox,1983-10-03,1.68,32%,3.8,45%,1.99,25%,33%,0.7,32.0,25.0,155.0,
Yana Kunitskaya,"5' 6""",135 lbs.,"68""",Orthodox,1989-11-11,4.22,57%,2.62,51%,1.62,53%,50%,0.2,57.0,53.0,135.0,68.0
Korey Kuppe,"6' 5""",170 lbs.,"77""",Switch,1989-01-23,0.73,73%,1.33,31%,0.0,0%,69%,1.0,73.0,0.0,170.0,77.0
Tsuyoshi Kurihara,"5' 10""",185 lbs.,,Orthodox,1973-07-13,0.0,0%,12.0,50%,0.0,0%,0%,0.0,0.0,0.0,185.0,
Ramazan Kuramagomedov,"6' 1""",170 lbs.,"73""",Orthodox,1996-08-23,11.67,67%,9.13,54%,1.0,14%,0%,0.0,67.0,14.0,170.0,73.0
Eldari Kurtanidze,"5' 6""",235 lbs.,,Orthodox,1972-04-16,0.47,20%,3.72,60%,0.0,0%,0%,0.0,20.0,0.0,235.0,
Kyle Kurtz,,170 lbs.,,,,1.31,36%,2.95,52%,1.23,20%,0%,2.5,36.0,20.0,170.0,
Guram Kutateladze,"5' 11""",155 lbs.,"72""",Orthodox,1992-01-08,2.47,43%,3.47,58%,0.0,0%,68%,0.0,43.0,0.0,155.0,72.0
Kaleo Kwan,"5' 7""",155 lbs.,,,1970-08-01,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,155.0,
Lina Kvokov,"5' 9""",135 lbs.,,Orthodox,,2.31,30%,12.12,19%,0.0,0%,0%,0.0,30.0,0.0,135.0,
Jarrod Kwitty,"5' 8""",185 lbs.,,,,0.53,50%,4.4,32%,8.0,50%,0%,2.0,50.0,50.0,185.0,
Mike Kyle,"6' 4""",205 lbs.,"77""",Orthodox,1980-03-31,3.93,51%,3.35,49%,1.33,62%,50%,0.8,51.0,62.0,205.0,77.0
Achmed Labasanov,"6' 3""",215 lbs.,,Orthodox,1978-04-24,0.75,39%,1.1,46%,3.0,100%,0%,0.8,39.0,100.0,215.0,
Josh LaBerge,"5' 10""",145 lbs.,,,,2.53,36%,5.33,44%,0.0,0%,71%,0.0,36.0,0.0,145.0,
Jeremiah Labiano,"5' 10""",135 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,135.0,
Kemran Lachinov,,170 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Ryan LaFlare,"6' 1""",170 lbs.,"74""",Southpaw,1983-10-01,2.89,40%,1.86,63%,2.13,44%,58%,0.2,40.0,44.0,170.0,74.0
Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,1995-03-01,5.22,55%,4.84,46%,2.45,75%,66%,1.2,55.0,75.0,135.0,66.0
Noad Lahat,"5' 9""",145 lbs.,"69""",Orthodox,1984-06-08,2.79,46%,1.47,63%,2.37,26%,16%,2.4,46.0,26.0,145.0,69.0
Ben Lagman,"6' 2""",185 lbs.,,,1986-09-04,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,185.0,
Tim Lajcik,"6' 1""",225 lbs.,,Orthodox,1965-06-21,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,225.0,
Tina Lahdemaki,"5' 2""",115 lbs.,,Orthodox,1988-05-28,1.93,20%,4.67,57%,0.0,0%,16%,0.0,20.0,0.0,115.0,
Todd Lally,"5' 7""",145 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Sean Lally,"6' 0""",170 lbs.,,Orthodox,1990-11-04,5.34,39%,7.23,30%,0.0,0%,0%,0.0,39.0,0.0,170.0,
Jason Lambert,"6' 3""",185 lbs.,"75""",Orthodox,1975-06-03,3.21,58%,1.84,50%,1.35,36%,28%,2.4,58.0,36.0,185.0,75.0
Aaron Lanfranco,,155 lbs.,,,1986-08-26,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,155.0,
Austen Lane,"6' 6""",245 lbs.,,Orthodox,1987-11-09,5.26,35%,6.32,60%,0.0,0%,0%,0.0,35.0,0.0,245.0,
Ricardo Lamas,"5' 8""",145 lbs.,"71""",Orthodox,1982-05-21,3.13,47%,2.87,57%,1.84,33%,46%,0.9,47.0,33.0,145.0,71.0
Jose Landi-Jons,"5' 11""",170 lbs.,,Orthodox,1973-09-09,0.99,40%,0.77,43%,2.2,80%,40%,2.2,40.0,80.0,170.0,
Nate Landwehr,"5' 9""",145 lbs.,"72""",Orthodox,1988-06-06,7.02,50%,7.67,51%,0.0,0%,85%,0.0,50.0,0.0,145.0,72.0
Jeremy Lang,"5' 11""",205 lbs.,,Southpaw,1975-05-11,1.13,50%,1.41,42%,4.22,60%,0%,4.2,50.0,60.0,205.0,
Lionel Lanham,,205 lbs.,,,1980-08-31,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,205.0,
Anthony Lapsley,"5' 9""",170 lbs.,,Southpaw,1980-02-13,0.53,34%,0.58,66%,0.0,0%,20%,0.0,34.0,0.0,170.0,
Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,1986-07-23,4.78,42%,3.59,65%,1.05,54%,78%,0.0,42.0,54.0,170.0,71.0
Taylor Lapilus,"5' 6""",135 lbs.,"73""",Southpaw,1992-04-08,3.77,45%,2.0,61%,0.58,40%,81%,0.6,45.0,40.0,135.0,73.0
Icho Larenas,"6' 3""",235 lbs.,,Orthodox,1980-03-12,0.17,15%,2.5,28%,0.0,0%,14%,0.0,15.0,0.0,235.0,
TJ Laramie,"5' 6""",145 lbs.,"66""",Orthodox,1997-10-15,2.73,51%,3.24,26%,2.56,50%,0%,0.0,51.0,50.0,145.0,66.0
Lina Lansberg,"5' 7""",135 lbs.,"65""",Orthodox,1982-03-13,2.76,57%,3.7,44%,0.71,33%,50%,0.1,57.0,33.0,135.0,65.0
Jeremy Larsen,"5' 10""",145 lbs.,"70""",Orthodox,1984-05-18,4.87,48%,5.75,57%,2.49,33%,0%,0.0,48.0,33.0,145.0,70.0
Ryan Larson,,170 lbs.,,,1980-12-30,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Bobby Lashley,"6' 3""",255 lbs.,"78""",Orthodox,1976-07-16,3.1,63%,0.76,63%,11.47,70%,0%,0.0,63.0,70.0,255.0,78.0
Sione Latu,"6' 0""",215 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,215.0,
Brock Larson,"5' 11""",170 lbs.,"71""",Southpaw,1977-08-23,1.39,46%,1.5,55%,2.67,34%,43%,2.0,46.0,34.0,170.0,71.0
Ilir Latifi,"5' 10""",205 lbs.,"73""",Orthodox,1983-07-28,2.01,40%,2.84,56%,2.02,32%,100%,0.4,40.0,32.0,205.0,73.0
