red_fighter,blue_fighter,red_kd,blue_kd,red_sig_str,blue_sig_str,red_sig_str_pct,blue_sig_str_pct,red_total_str,blue_total_str,red_td,blue_td,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl,blue_ctrl,red_head,blue_head,red_body,blue_body,red_leg,blue_leg,red_distance,blue_distance,red_clinch,blue_clinch,red_ground,blue_ground,win_by,last_round,last_round_time,format,referee,date,location,fight_type,winner,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_sig_str_pct_num,blue_sig_str_pct_num,red_total_str_landed,red_total_str_attempted,blue_total_str_landed,blue_total_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted,red_td_pct_num,blue_td_pct_num,red_head_landed,red_head_attempted,blue_head_landed,blue_head_attempted,red_body_landed,red_body_attempted,blue_body_landed,blue_body_attempted,red_leg_landed,red_leg_attempted,blue_leg_landed,blue_leg_attempted,red_distance_landed,red_distance_attempted,blue_distance_landed,blue_distance_attempted,red_clinch_landed,red_clinch_attempted,blue_clinch_landed,blue_clinch_attempted,red_ground_landed,red_ground_attempted,blue_ground_landed,blue_ground_attempted,last_round_time_seconds
Cheick Kongo,Antoni Hardonk,0,0,53 of 84,9 of 20,63%,45%,80 of 117,9 of 20,2 of 3,0 of 0,66%,,0,0,0,0,5:00,0:00,24 of 51,1 of 11,9 of 9,2 of 3,20 of 24,6 of 6,16 of 33,9 of 20,13 of 13,0 of 0,24 of 38,0 of 0,KO/TKO,2,2:29,3 Rnd (5-5-5),Yves Lavigne,2009-04-18,"Montreal, Quebec, Canada",Heavyweight Bout,Cheick Kongo,53,84,9,20,63.0,45.0,80,117,9,20,2,3,0,0,66.0,,24,51,1,11,9,9,2,3,20,24,6,6,16,33,9,20,13,13,0,0,24,38,0,0,149
Luiz Cane,Steve Cantwell,0,0,87 of 223,69 of 189,39%,36%,87 of 223,69 of 189,0 of 1,0 of 0,0%,,0,0,0,0,0:13,0:02,66 of 198,37 of 151,19 of 23,16 of 18,2 of 2,16 of 20,82 of 216,68 of 188,5 of 7,1 of 1,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,2009-04-18,"Montreal, Quebec, Canada",Light Heavyweight Bout,Luiz Cane,87,223,69,189,39.0,36.0,87,223,69,189,0,1,0,0,0.0,,66,198,37,151,19,23,16,18,2,2,16,20,82,216,68,188,5,7,1,1,0,0,0,0,300
Krzysztof Soszynski,Brian Stann,0,0,3 of 11,8 of 18,27%,44%,10 of 18,14 of 24,2 of 2,0 of 0,100%,,2,0,0,0,1:47,0:09,0 of 5,4 of 13,2 of 4,1 of 1,1 of 2,3 of 4,3 of 9,4 of 13,0 of 2,4 of 5,0 of 0,0 of 0,Submission,1,3:53,3 Rnd (5-5-5),Dan Miragliotta,2009-04-18,"Montreal, Quebec, Canada",Light Heavyweight Bout,Krzysztof Soszynski,3,11,8,18,27.0,44.0,10,18,14,24,2,2,0,0,100.0,,0,5,4,13,2,4,1,1,1,2,3,4,3,9,4,13,0,2,4,5,0,0,0,0,233
Denis Kang,Xavier Foupa-Pokam,0,0,31 of 65,23 of 53,47%,43%,103 of 141,32 of 62,5 of 6,0 of 0,83%,,1,0,0,1,8:00,0:06,25 of 55,8 of 34,6 of 10,12 of 15,0 of 0,3 of 4,9 of 34,18 of 45,3 of 7,4 of 6,19 of 24,1 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Philippe Chartier,2009-04-18,"Montreal, Quebec, Canada",Middleweight Bout,Denis Kang,31,65,23,53,47.0,43.0,103,141,32,62,5,6,0,0,83.0,,25,55,8,34,6,10,12,15,0,0,3,4,9,34,18,45,3,7,4,6,19,24,1,2,300
Nate Quarry,Jason MacDonald,0,0,16 of 34,1 of 1,47%,100%,29 of 47,3 of 5,1 of 1,0 of 1,100%,0%,0,0,0,0,1:47,0:27,15 of 33,0 of 0,1 of 1,0 of 0,0 of 0,1 of 1,0 of 1,0 of 0,1 of 1,1 of 1,15 of 32,0 of 0,KO/TKO,1,2:27,3 Rnd (5-5-5),Mario Yamasaki,2009-04-18,"Montreal, Quebec, Canada",Middleweight Bout,Nate Quarry,16,34,1,1,47.0,100.0,29,47,3,5,1,1,0,1,100.0,0.0,15,33,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,15,32,0,0,147
Sam Stout,Matt Wiman,1,0,62 of 186,46 of 104,33%,44%,87 of 219,61 of 119,0 of 0,4 of 11,,36%,0,2,1,0,2:41,4:27,31 of 149,30 of 82,22 of 24,6 of 10,9 of 13,10 of 12,52 of 165,41 of 96,6 of 9,2 of 3,4 of 12,3 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2009-04-18,"Montreal, Quebec, Canada",Lightweight Bout,Sam Stout,62,186,46,104,33.0,44.0,87,219,61,119,0,0,4,11,,36.0,31,149,30,82,22,24,6,10,9,13,10,12,52,165,41,96,6,9,2,3,4,12,3,5,300
Mauricio Rua,Chuck Liddell,1,0,24 of 32,8 of 37,75%,21%,25 of 34,8 of 37,0 of 1,1 of 1,0%,100%,0,0,0,0,0:26,0:21,14 of 22,8 of 35,2 of 2,0 of 0,8 of 8,0 of 2,13 of 21,7 of 36,4 of 4,1 of 1,7 of 7,0 of 0,KO/TKO,1,4:28,3 Rnd (5-5-5),Mario Yamasaki,2009-04-18,"Montreal, Quebec, Canada",Light Heavyweight Bout,Mauricio Rua,24,32,8,37,75.0,21.0,25,34,8,37,0,1,1,1,0.0,100.0,14,22,8,35,2,2,0,0,8,8,0,2,13,21,7,36,4,4,1,1,7,7,0,0,268
Anderson Silva,Thales Leites,0,0,94 of 139,10 of 54,67%,18%,106 of 155,18 of 64,0 of 0,1 of 14,,7%,0,0,0,0,2:45,2:38,35 of 71,3 of 42,8 of 11,1 of 5,51 of 57,6 of 7,66 of 106,10 of 51,4 of 4,0 of 1,24 of 29,0 of 2,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Yves Lavigne,2009-04-18,"Montreal, Quebec, Canada",UFC Middleweight Title Bout,Anderson Silva,94,139,10,54,67.0,18.0,106,155,18,64,0,0,1,14,,7.0,35,71,3,42,8,11,1,5,51,57,6,7,66,106,10,51,4,4,0,1,24,29,0,2,300
Ed Herman,David Loiseau,0,0,71 of 84,6 of 16,84%,37%,189 of 210,8 of 18,5 of 9,0 of 0,55%,,0,0,0,0,11:55,0:34,25 of 36,4 of 14,46 of 48,2 of 2,0 of 0,0 of 0,0 of 2,5 of 12,18 of 18,1 of 3,53 of 64,0 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Philippe Chartier,2009-04-18,"Montreal, Quebec, Canada",Middleweight Bout,Ed Herman,71,84,6,16,84.0,37.0,189,210,8,18,5,9,0,0,55.0,,25,36,4,14,46,48,2,2,0,0,0,0,0,2,5,12,18,18,1,3,53,64,0,1,300
Mark Bocek,David Bielkheden,0,0,20 of 43,4 of 5,46%,80%,45 of 68,5 of 6,1 of 2,0 of 0,50%,,1,0,0,0,4:00,0:22,17 of 40,0 of 1,2 of 2,1 of 1,1 of 1,3 of 3,0 of 1,1 of 2,4 of 4,3 of 3,16 of 38,0 of 0,Submission,1,4:57,3 Rnd (5-5-5),Dan Miragliotta,2009-04-18,"Montreal, Quebec, Canada",Lightweight Bout,Mark Bocek,20,43,4,5,46.0,80.0,45,68,5,6,1,2,0,0,50.0,,17,40,0,1,2,2,1,1,1,1,3,3,0,1,1,2,4,4,3,3,16,38,0,0,297
TJ Grant,Ryo Chonan,0,0,34 of 76,31 of 75,44%,41%,98 of 149,53 of 101,3 of 4,2 of 2,75%,100%,0,0,1,3,3:23,9:09,24 of 63,27 of 71,5 of 7,1 of 1,5 of 6,3 of 3,15 of 49,13 of 32,13 of 17,1 of 3,6 of 10,17 of 40,Decision - Split,3,5:00,3 Rnd (5-5-5),Philippe Chartier,2009-04-18,"Montreal, Quebec, Canada",Welterweight Bout,TJ Grant,34,76,31,75,44.0,41.0,98,149,53,101,3,4,2,2,75.0,100.0,24,63,27,71,5,7,1,1,5,6,3,3,15,49,13,32,13,17,1,3,6,10,17,40,300
Eliot Marshall,Vinny Magalhaes,0,0,44 of 164,34 of 148,26%,22%,45 of 165,36 of 150,0 of 0,2 of 3,,66%,0,0,0,0,0:00,1:06,23 of 136,21 of 126,6 of 13,10 of 15,15 of 15,3 of 7,44 of 164,25 of 125,0 of 0,0 of 3,0 of 0,9 of 20,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,2009-04-18,"Montreal, Quebec, Canada",Light Heavyweight Bout,Eliot Marshall,44,164,34,148,26.0,22.0,45,165,36,150,0,0,2,3,,66.0,23,136,21,126,6,13,10,15,15,15,3,7,44,164,25,125,0,0,0,3,0,0,9,20,300
Tim Credeur,Nick Catone,0,0,9 of 39,19 of 37,23%,51%,10 of 40,37 of 56,0 of 0,3 of 3,,100%,7,0,0,0,0:24,5:31,6 of 34,14 of 29,2 of 4,4 of 7,1 of 1,1 of 1,7 of 36,8 of 22,2 of 3,0 of 0,0 of 0,11 of 15,Submission,2,3:45,3 Rnd (5-5-5),Mario Yamasaki,2009-04-01,"Nashville, Tennessee, USA",Middleweight Bout,Tim Credeur,9,39,19,37,23.0,51.0,10,40,37,56,0,0,3,3,,100.0,6,34,14,29,2,4,4,7,1,1,1,1,7,36,8,22,2,3,0,0,0,0,11,15,225
Gleison Tibau,Jeremy Stephens,0,0,7 of 20,23 of 40,35%,57%,46 of 65,40 of 57,5 of 13,0 of 0,38%,,3,0,0,0,10:07,0:45,5 of 18,8 of 23,1 of 1,9 of 9,1 of 1,6 of 8,3 of 12,5 of 17,2 of 2,14 of 17,2 of 6,4 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,2009-04-01,"Nashville, Tennessee, USA",Lightweight Bout,Gleison Tibau,7,20,23,40,35.0,57.0,46,65,40,57,5,13,0,0,38.0,,5,18,8,23,1,1,9,9,1,1,6,8,3,12,5,17,2,2,14,17,2,6,4,6,300
Tyson Griffin,Rafael Dos Anjos,0,0,69 of 213,26 of 134,32%,19%,101 of 245,29 of 137,1 of 4,0 of 1,25%,0%,0,3,0,1,2:51,0:05,40 of 174,18 of 120,14 of 22,4 of 8,15 of 17,4 of 6,56 of 190,23 of 126,4 of 8,3 of 8,9 of 15,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,2009-04-01,"Nashville, Tennessee, USA",Lightweight Bout,Tyson Griffin,69,213,26,134,32.0,19.0,101,245,29,137,1,4,0,1,25.0,0.0,40,174,18,120,14,22,4,8,15,17,4,6,56,190,23,126,4,8,3,8,9,15,0,0,300
Ricardo Almeida,Matt Horwich,0,0,41 of 67,25 of 39,61%,64%,79 of 107,52 of 66,9 of 15,0 of 2,60%,0%,1,3,0,0,8:21,2:04,32 of 56,3 of 14,9 of 10,13 of 14,0 of 1,9 of 11,25 of 43,11 of 19,5 of 8,14 of 20,11 of 16,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2009-04-01,"Nashville, Tennessee, USA",Middleweight Bout,Ricardo Almeida,41,67,25,39,61.0,64.0,79,107,52,66,9,15,0,2,60.0,0.0,32,56,3,14,9,10,13,14,0,1,9,11,25,43,11,19,5,8,14,20,11,16,0,0,300
Brock Larson,Jesse Sanders,0,0,13 of 20,0 of 3,65%,0%,30 of 40,0 of 3,1 of 2,0 of 0,50%,,1,0,0,0,1:27,0:00,13 of 20,0 of 2,0 of 0,0 of 0,0 of 0,0 of 1,0 of 2,0 of 3,0 of 0,0 of 0,13 of 18,0 of 0,Submission,1,2:01,3 Rnd (5-5-5),Herb Dean,2009-04-01,"Nashville, Tennessee, USA",Welterweight Bout,Brock Larson,13,20,0,3,65.0,0.0,30,40,0,3,1,2,0,0,50.0,,13,20,0,2,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,13,18,0,0,121
