red_fighter,blue_fighter,red_kd,blue_kd,red_sig_str,blue_sig_str,red_sig_str_pct,blue_sig_str_pct,red_total_str,blue_total_str,red_td,blue_td,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl,blue_ctrl,red_head,blue_head,red_body,blue_body,red_leg,blue_leg,red_distance,blue_distance,red_clinch,blue_clinch,red_ground,blue_ground,win_by,last_round,last_round_time,format,referee,date,location,fight_type,winner,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_sig_str_pct_num,blue_sig_str_pct_num,red_total_str_landed,red_total_str_attempted,blue_total_str_landed,blue_total_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted,red_td_pct_num,blue_td_pct_num,red_head_landed,red_head_attempted,blue_head_landed,blue_head_attempted,red_body_landed,red_body_attempted,blue_body_landed,blue_body_attempted,red_leg_landed,red_leg_attempted,blue_leg_landed,blue_leg_attempted,red_distance_landed,red_distance_attempted,blue_distance_landed,blue_distance_attempted,red_clinch_landed,red_clinch_attempted,blue_clinch_landed,blue_clinch_attempted,red_ground_landed,red_ground_attempted,blue_ground_landed,blue_ground_attempted,last_round_time_seconds
Desmond Green,Gleison Tibau,0,0,77 of 191,28 of 178,40%,15%,77 of 191,29 of 179,0 of 0,0 of 3,,0%,0,0,0,0,0:00,0:00,61 of 160,20 of 159,13 of 27,6 of 17,3 of 4,2 of 2,75 of 187,28 of 176,2 of 4,0 of 2,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2018-06-01,"Utica, New York, USA",Lightweight Bout,Desmond Green,77,191,28,178,40.0,15.0,77,191,29,179,0,0,0,3,,0.0,61,160,20,159,13,27,6,17,3,4,2,2,75,187,28,176,2,4,0,2,0,0,0,0,300
Belal Muhammad,Chance Rencountre,0,0,70 of 130,16 of 123,53%,13%,88 of 149,16 of 123,3 of 4,0 of 3,75%,0%,1,0,0,0,2:03,0:00,45 of 99,8 of 102,8 of 11,3 of 14,17 of 20,5 of 7,65 of 124,16 of 123,0 of 1,0 of 0,5 of 5,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,2018-06-01,"Utica, New York, USA",Welterweight Bout,Belal Muhammad,70,130,16,123,53.0,13.0,88,149,16,123,3,4,0,3,75.0,0.0,45,99,8,102,8,11,3,14,17,20,5,7,65,124,16,123,0,1,0,0,5,5,0,0,300
Johnny Eduardo,Nathaniel Wood,0,0,37 of 88,33 of 97,42%,34%,37 of 88,33 of 97,0 of 1,0 of 0,0%,,0,1,0,0,0:03,0:41,27 of 72,20 of 73,3 of 8,3 of 7,7 of 8,10 of 17,35 of 86,33 of 97,2 of 2,0 of 0,0 of 0,0 of 0,Submission,2,2:18,3 Rnd (5-5-5),Kevin MacDonald,2018-06-01,"Utica, New York, USA",Bantamweight Bout,Nathaniel Wood,37,88,33,97,42.0,34.0,37,88,33,97,0,1,0,0,0.0,,27,72,20,73,3,8,3,7,7,8,10,17,35,86,33,97,2,2,0,0,0,0,0,0,138
Neil Magny,Craig White,1,0,18 of 29,6 of 17,62%,35%,40 of 53,13 of 28,0 of 2,0 of 2,0%,0%,0,0,0,0,1:57,1:49,14 of 22,1 of 10,3 of 6,2 of 2,1 of 1,3 of 5,2 of 9,5 of 12,3 of 3,1 of 5,13 of 17,0 of 0,KO/TKO,1,4:32,3 Rnd (5-5-5),Leon Roberts,2018-05-27,"Liverpool, England, United Kingdom",Welterweight Bout,Neil Magny,18,29,6,17,62.0,35.0,40,53,13,28,0,2,0,2,0.0,0.0,14,22,1,10,3,6,2,2,1,1,3,5,2,9,5,12,3,3,1,5,13,17,0,0,272
Jason Knight,Makwan Amirkhani,2,0,29 of 88,27 of 62,32%,43%,64 of 124,32 of 68,0 of 1,3 of 5,0%,60%,1,0,1,0,6:54,0:14,10 of 52,25 of 60,6 of 18,1 of 1,13 of 18,1 of 1,29 of 86,18 of 48,0 of 2,0 of 0,0 of 0,9 of 14,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,2018-05-27,"Liverpool, England, United Kingdom",Featherweight Bout,Makwan Amirkhani,29,88,27,62,32.0,43.0,64,124,32,68,0,1,3,5,0.0,60.0,10,52,25,60,6,18,1,1,13,18,1,1,29,86,18,48,0,2,0,0,0,0,9,14,300
Lina Lansberg,Gina Mazany,0,0,40 of 75,38 of 89,53%,42%,81 of 125,112 of 178,1 of 1,2 of 2,100%,100%,0,0,0,0,7:31,3:01,13 of 44,10 of 51,26 of 28,18 of 25,1 of 3,10 of 13,13 of 42,24 of 63,27 of 33,14 of 26,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2018-05-27,"Liverpool, England, United Kingdom",Women's Bantamweight Bout,Lina Lansberg,40,75,38,89,53.0,42.0,81,125,112,178,1,1,2,2,100.0,100.0,13,44,10,51,26,28,18,25,1,3,10,13,13,42,24,63,27,33,14,26,0,0,0,0,300
Eric Spicely,Darren Stewart,0,1,15 of 75,34 of 90,20%,37%,19 of 79,34 of 90,0 of 4,0 of 0,0%,,0,0,0,0,1:03,0:15,11 of 66,26 of 80,0 of 5,8 of 10,4 of 4,0 of 0,15 of 74,25 of 74,0 of 1,4 of 6,0 of 0,5 of 10,KO/TKO,2,1:47,3 Rnd (5-5-5),Leon Roberts,2018-05-27,"Liverpool, England, United Kingdom",Middleweight Bout,Darren Stewart,15,75,34,90,20.0,37.0,19,79,34,90,0,4,0,0,0.0,,11,66,26,80,0,5,8,10,4,4,0,0,15,74,25,74,0,1,4,6,0,0,5,10,107
Stephen Thompson,Darren Till,0,1,30 of 126,38 of 126,23%,30%,31 of 127,40 of 129,0 of 1,0 of 0,0%,,0,0,0,0,0:00,0:14,8 of 92,18 of 87,13 of 19,5 of 12,9 of 15,15 of 27,29 of 125,34 of 121,1 of 1,4 of 5,0 of 0,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,2018-05-27,"Liverpool, England, United Kingdom",Welterweight Bout,Darren Till,30,126,38,126,23.0,30.0,31,127,40,129,0,1,0,0,0.0,,8,92,18,87,13,19,5,12,9,15,15,27,29,125,34,121,1,1,4,5,0,0,0,0,300
Arnold Allen,Mads Burnell,0,0,29 of 90,20 of 56,32%,35%,38 of 101,70 of 120,0 of 0,6 of 12,,50%,1,0,0,0,0:09,7:44,21 of 76,13 of 46,8 of 14,3 of 4,0 of 0,4 of 6,29 of 88,16 of 48,0 of 2,1 of 1,0 of 0,3 of 7,Submission,3,2:41,3 Rnd (5-5-5),Neil Hall,2018-05-27,"Liverpool, England, United Kingdom",Featherweight Bout,Arnold Allen,29,90,20,56,32.0,35.0,38,101,70,120,0,0,6,12,,50.0,21,76,13,46,8,14,3,4,0,0,4,6,29,88,16,48,0,2,1,1,0,0,3,7,161
Claudio Silva,Nordine Taleb,0,0,18 of 39,6 of 12,46%,50%,25 of 51,6 of 12,1 of 3,1 of 2,33%,50%,1,0,0,0,1:48,0:11,11 of 27,1 of 6,6 of 9,3 of 4,1 of 3,2 of 2,6 of 16,4 of 9,3 of 4,2 of 3,9 of 19,0 of 0,Submission,1,4:31,3 Rnd (5-5-5),Neil Hall,2018-05-27,"Liverpool, England, United Kingdom",Welterweight Bout,Claudio Silva,18,39,6,12,46.0,50.0,25,51,6,12,1,3,1,2,33.0,50.0,11,27,1,6,6,9,3,4,1,3,2,2,6,16,4,9,3,4,2,3,9,19,0,0,271
Daniel Kelly,Tom Breese,0,1,6 of 28,23 of 44,21%,52%,6 of 28,23 of 44,0 of 0,0 of 0,,,0,0,0,0,0:00,0:01,1 of 19,21 of 41,1 of 3,2 of 3,4 of 6,0 of 0,6 of 28,22 of 42,0 of 0,0 of 0,0 of 0,1 of 2,KO/TKO,1,3:33,3 Rnd (5-5-5),Daniel Movahedi,2018-05-27,"Liverpool, England, United Kingdom",Middleweight Bout,Tom Breese,6,28,23,44,21.0,52.0,6,28,23,44,0,0,0,0,,,1,19,21,41,1,3,2,3,4,6,0,0,6,28,22,42,0,0,0,0,0,0,1,2,213
Brad Scott,Carlo Pedersoli Jr.,1,0,58 of 155,67 of 179,37%,37%,63 of 160,68 of 181,0 of 0,3 of 4,,75%,0,0,0,0,0:01,1:26,32 of 104,39 of 137,16 of 39,22 of 35,10 of 12,6 of 7,55 of 152,65 of 176,2 of 2,0 of 0,1 of 1,2 of 3,Decision - Split,3,5:00,3 Rnd (5-5-5),Leon Roberts,2018-05-27,"Liverpool, England, United Kingdom",Welterweight Bout,Carlo Pedersoli Jr.,58,155,67,179,37.0,37.0,63,160,68,181,0,0,3,4,,75.0,32,104,39,137,16,39,22,35,10,12,6,7,55,152,65,176,2,2,0,0,1,1,2,3,300
Gillian Robertson,Molly McCann,0,0,17 of 50,10 of 33,34%,30%,26 of 60,10 of 33,2 of 4,0 of 0,50%,,1,0,0,0,4:32,0:02,16 of 49,10 of 32,0 of 0,0 of 1,1 of 1,0 of 0,5 of 34,10 of 33,0 of 0,0 of 0,12 of 16,0 of 0,Submission,2,2:05,3 Rnd (5-5-5),Neil Hall,2018-05-27,"Liverpool, England, United Kingdom",Women's Flyweight Bout,Gillian Robertson,17,50,10,33,34.0,30.0,26,60,10,33,2,4,0,0,50.0,,16,49,10,32,0,0,0,1,1,1,0,0,5,34,10,33,0,0,0,0,12,16,0,0,125
Elias Theodorou,Trevor Smith,0,0,77 of 138,41 of 81,55%,50%,140 of 203,82 of 123,0 of 0,3 of 11,,27%,0,0,0,0,4:01,4:22,37 of 83,14 of 48,33 of 47,21 of 27,7 of 8,6 of 6,23 of 53,14 of 44,51 of 81,24 of 32,3 of 4,3 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,2018-05-27,"Liverpool, England, United Kingdom",Middleweight Bout,Elias Theodorou,77,138,41,81,55.0,50.0,140,203,82,123,0,0,3,11,,27.0,37,83,14,48,33,47,21,27,7,8,6,6,23,53,14,44,51,81,24,32,3,4,3,5,300
Jared Cannonier,Dominick Reyes,0,1,6 of 21,20 of 52,28%,38%,10 of 26,21 of 53,0 of 0,0 of 1,,0%,0,0,0,0,0:00,0:00,4 of 18,7 of 33,0 of 1,5 of 11,2 of 2,8 of 8,6 of 20,19 of 49,0 of 1,1 of 3,0 of 0,0 of 0,KO/TKO,1,2:55,3 Rnd (5-5-5),Marc Goddard,2018-05-19,"Santiago, Chile",Light Heavyweight Bout,Dominick Reyes,6,21,20,52,28.0,38.0,10,26,21,53,0,0,0,1,,0.0,4,18,7,33,0,1,5,11,2,2,8,8,6,20,19,49,0,1,1,3,0,0,0,0,175
Alexa Grasso,Tatiana Suarez,0,0,6 of 8,2 of 9,75%,22%,21 of 23,4 of 11,0 of 0,2 of 3,,66%,0,1,0,0,0:00,1:41,4 of 5,1 of 7,2 of 3,0 of 1,0 of 0,1 of 1,0 of 2,1 of 8,4 of 4,0 of 0,2 of 2,1 of 1,Submission,1,2:44,3 Rnd (5-5-5),Camila Albuquerque,2018-05-19,"Santiago, Chile",Women's Strawweight Bout,Tatiana Suarez,6,8,2,9,75.0,22.0,21,23,4,11,0,0,2,3,,66.0,4,5,1,7,2,3,0,1,0,0,1,1,0,2,1,8,4,4,0,0,2,2,1,1,164
Diego Rivas,Guido Cannetti,0,0,22 of 46,25 of 53,47%,47%,26 of 50,44 of 75,2 of 5,1 of 3,40%,33%,1,1,0,1,3:03,5:56,10 of 23,12 of 35,7 of 17,6 of 11,5 of 6,7 of 7,8 of 31,10 of 32,13 of 14,7 of 12,1 of 1,8 of 9,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2018-05-19,"Santiago, Chile",Bantamweight Bout,Guido Cannetti,22,46,25,53,47.0,47.0,26,50,44,75,2,5,1,3,40.0,33.0,10,23,12,35,7,17,6,11,5,6,7,7,8,31,10,32,13,14,7,12,1,1,8,9,300
Zak Cummings,Michel Prazeres,0,0,28 of 92,30 of 76,30%,39%,62 of 128,32 of 78,0 of 0,3 of 9,,33%,0,0,0,0,2:13,2:44,12 of 64,20 of 59,11 of 21,4 of 7,5 of 7,6 of 10,15 of 74,29 of 72,13 of 18,1 of 4,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),,2018-05-19,"Santiago, Chile",Welterweight Bout,Michel Prazeres,28,92,30,76,30.0,39.0,62,128,32,78,0,0,3,9,,33.0,12,64,20,59,11,21,4,7,5,7,6,10,15,74,29,72,13,18,1,4,0,0,0,0,300
Veronica Macedo,Andrea Lee,0,0,24 of 73,56 of 93,32%,60%,42 of 100,87 of 131,1 of 1,3 of 5,100%,60%,1,2,0,0,1:43,8:04,17 of 60,17 of 37,3 of 7,24 of 29,4 of 6,15 of 27,19 of 57,15 of 40,4 of 6,26 of 28,1 of 10,15 of 25,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,2018-05-19,"Santiago, Chile",Women's Flyweight Bout,Andrea Lee,24,73,56,93,32.0,60.0,42,100,87,131,1,1,3,5,100.0,60.0,17,60,17,37,3,7,24,29,4,6,15,27,19,57,15,40,4,6,26,28,1,10,15,25,300
Demian Maia,Kamaru Usman,0,1,27 of 87,66 of 209,31%,31%,33 of 94,97 of 244,0 of 15,0 of 0,0%,,0,0,0,0,2:01,4:19,26 of 85,49 of 181,1 of 2,4 of 12,0 of 0,13 of 16,25 of 85,55 of 187,1 of 1,1 of 5,1 of 1,10 of 17,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,2018-05-19,"Santiago, Chile",Welterweight Bout,Kamaru Usman,27,87,66,209,31.0,31.0,33,94,97,244,0,15,0,0,0.0,,26,85,49,181,1,2,4,12,0,0,13,16,25,85,55,187,1,1,1,5,1,1,10,17,300
Vicente Luque,Chad Laprise,1,0,14 of 35,13 of 29,40%,44%,14 of 35,14 of 30,0 of 0,0 of 1,,0%,0,0,0,0,0:00,0:51,9 of 26,6 of 21,1 of 3,3 of 3,4 of 6,4 of 5,10 of 30,9 of 25,1 of 1,4 of 4,3 of 4,0 of 0,KO/TKO,1,4:16,3 Rnd (5-5-5),Marc Goddard,2018-05-19,"Santiago, Chile",Welterweight Bout,Vicente Luque,14,35,13,29,40.0,44.0,14,35,14,30,0,0,0,1,,0.0,9,26,6,21,1,3,3,3,4,6,4,5,10,30,9,25,1,1,4,4,3,4,0,0,256
Brandon Moreno,Alexandre Pantoja,0,0,45 of 133,79 of 168,33%,47%,50 of 140,96 of 187,2 of 7,0 of 0,28%,,0,0,0,0,0:16,1:12,32 of 113,58 of 133,4 of 5,7 of 17,9 of 15,14 of 18,43 of 126,69 of 154,2 of 7,3 of 6,0 of 0,7 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2018-05-19,"Santiago, Chile",Flyweight Bout,Alexandre Pantoja,45,133,79,168,33.0,47.0,50,140,96,187,2,7,0,0,28.0,,32,113,58,133,4,5,7,17,9,15,14,18,43,126,69,154,2,7,3,6,0,0,7,8,300
Poliana Botelho,Syuri Kondo,1,0,9 of 13,2 of 3,69%,66%,9 of 13,2 of 3,0 of 0,0 of 0,,,0,0,0,0,0:05,0:00,7 of 10,0 of 1,1 of 2,0 of 0,1 of 1,2 of 2,3 of 6,2 of 3,0 of 0,0 of 0,6 of 7,0 of 0,KO/TKO,1,0:33,3 Rnd (5-5-5),Camila Albuquerque,2018-05-19,"Santiago, Chile",Women's Strawweight Bout,Poliana Botelho,9,13,2,3,69.0,66.0,9,13,2,3,0,0,0,0,,,7,10,0,1,1,2,0,0,1,1,2,2,3,6,2,3,0,0,0,0,6,7,0,0,33
Gabriel Benitez,Humberto Bandenay,1,0,9 of 19,2 of 2,47%,100%,9 of 19,2 of 2,1 of 1,0 of 0,100%,,0,1,0,0,0:24,0:00,7 of 17,1 of 1,1 of 1,0 of 0,1 of 1,1 of 1,2 of 6,2 of 2,0 of 0,0 of 0,7 of 13,0 of 0,KO/TKO,1,0:39,3 Rnd (5-5-5),Osiris Maia,2018-05-19,"Santiago, Chile",Featherweight Bout,Gabriel Benitez,9,19,2,2,47.0,100.0,9,19,2,2,1,1,0,0,100.0,,7,17,1,1,1,1,0,0,1,1,1,1,2,6,2,2,0,0,0,0,7,13,0,0,39
Enrique Barzola,Brandon Davis,0,0,51 of 94,29 of 87,54%,33%,89 of 149,39 of 102,10 of 15,0 of 1,66%,0%,1,0,0,0,7:13,0:53,33 of 72,18 of 72,5 of 9,2 of 4,13 of 13,9 of 11,27 of 59,28 of 85,5 of 9,1 of 1,19 of 26,0 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2018-05-19,"Santiago, Chile",Featherweight Bout,Enrique Barzola,51,94,29,87,54.0,33.0,89,149,39,102,10,15,0,1,66.0,0.0,33,72,18,72,5,9,2,4,13,13,9,11,27,59,28,85,5,9,1,1,19,26,0,1,300
Claudio Puelles,Felipe Silva,0,1,16 of 49,70 of 130,32%,53%,16 of 49,103 of 171,2 of 7,1 of 1,28%,100%,1,0,0,0,1:28,2:52,11 of 41,48 of 101,3 of 6,12 of 17,2 of 2,10 of 12,12 of 44,30 of 75,0 of 0,4 of 6,4 of 5,36 of 49,Submission,3,2:23,3 Rnd (5-5-5),Osiris Maia,2018-05-19,"Santiago, Chile",Lightweight Bout,Claudio Puelles,16,49,70,130,32.0,53.0,16,49,103,171,2,7,1,1,28.0,100.0,11,41,48,101,3,6,12,17,2,2,10,12,12,44,30,75,0,0,4,6,4,5,36,49,143
Henry Briones,Frankie Saenz,0,1,44 of 104,66 of 120,42%,55%,58 of 123,84 of 138,0 of 0,4 of 10,,40%,1,0,0,0,0:08,4:10,25 of 82,36 of 81,10 of 13,18 of 22,9 of 9,12 of 17,40 of 98,40 of 84,4 of 6,16 of 19,0 of 0,10 of 17,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),,2018-05-19,"Santiago, Chile",Bantamweight Bout,Frankie Saenz,44,104,66,120,42.0,55.0,58,123,84,138,0,0,4,10,,40.0,25,82,36,81,10,13,18,22,9,9,12,17,40,98,40,84,4,6,16,19,0,0,10,17,300
Davi Ramos,Nick Hein,0,0,6 of 12,1 of 6,50%,16%,13 of 21,1 of 6,1 of 1,0 of 0,100%,,1,0,0,0,2:10,0:07,5 of 9,1 of 6,1 of 3,0 of 0,0 of 0,0 of 0,5 of 11,1 of 6,0 of 0,0 of 0,1 of 1,0 of 0,Submission,1,4:15,3 Rnd (5-5-5),Osiris Maia,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Lightweight Bout,Davi Ramos,6,12,1,6,50.0,16.0,13,21,1,6,1,1,0,0,100.0,,5,9,1,6,1,3,0,0,0,0,0,0,5,11,1,6,0,0,0,0,1,1,0,0,255
Jacare Souza,Kelvin Gastelum,0,1,64 of 115,53 of 145,55%,36%,78 of 129,57 of 149,1 of 9,0 of 0,11%,,1,0,1,0,3:28,0:35,42 of 84,44 of 133,21 of 30,7 of 10,1 of 1,2 of 2,42 of 90,41 of 125,8 of 11,9 of 10,14 of 14,3 of 10,Decision - Split,3,5:00,3 Rnd (5-5-5),Leon Roberts,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight Bout,Kelvin Gastelum,64,115,53,145,55.0,36.0,78,129,57,149,1,9,0,0,11.0,,42,84,44,133,21,30,7,10,1,1,2,2,42,90,41,125,8,11,9,10,14,14,3,10,300
Amanda Nunes,Raquel Pennington,0,0,124 of 254,64 of 169,48%,37%,152 of 288,79 of 186,3 of 4,1 of 8,75%,12%,0,0,0,0,4:29,2:13,72 of 171,49 of 148,31 of 46,10 of 15,21 of 37,5 of 6,96 of 219,56 of 160,15 of 19,7 of 8,13 of 16,1 of 1,KO/TKO,5,2:36,5 Rnd (5-5-5-5-5),Marc Goddard,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",UFC Women's Bantamweight Title Bout,Amanda Nunes,124,254,64,169,48.0,37.0,152,288,79,186,3,4,1,8,75.0,12.0,72,171,49,148,31,46,10,15,21,37,5,6,96,219,56,160,15,19,7,8,13,16,1,1,156
Cezar Ferreira,Karl Roberson,0,0,5 of 6,4 of 6,83%,66%,14 of 16,20 of 26,2 of 3,0 of 0,66%,,1,0,0,0,4:20,0:00,4 of 5,3 of 5,1 of 1,0 of 0,0 of 0,1 of 1,1 of 1,1 of 3,0 of 0,2 of 2,4 of 5,1 of 1,Submission,1,4:45,3 Rnd (5-5-5),Fernando Portella,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight Bout,Cezar Ferreira,5,6,4,6,83.0,66.0,14,16,20,26,2,3,0,0,66.0,,4,5,3,5,1,1,0,0,0,0,1,1,1,1,1,3,0,0,2,2,4,5,1,1,285
Mackenzie Dern,Amanda Cooper,1,0,15 of 32,6 of 25,46%,24%,16 of 33,6 of 25,0 of 0,0 of 0,,,1,0,0,0,0:09,0:00,14 of 30,5 of 24,1 of 2,0 of 0,0 of 0,1 of 1,9 of 24,6 of 25,0 of 0,0 of 0,6 of 8,0 of 0,Submission,1,2:27,3 Rnd (5-5-5),Osiris Maia,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Women's Strawweight Bout,Mackenzie Dern,15,32,6,25,46.0,24.0,16,33,6,25,0,0,0,0,,,14,30,5,24,1,2,0,0,0,0,1,1,9,24,6,25,0,0,0,0,6,8,0,0,147
John Lineker,Brian Kelleher,2,0,102 of 233,50 of 137,43%,36%,113 of 244,58 of 147,0 of 0,1 of 6,,16%,1,0,0,0,1:07,0:43,65 of 173,41 of 112,31 of 49,6 of 19,6 of 11,3 of 6,89 of 211,46 of 132,7 of 12,3 of 4,6 of 10,1 of 1,KO/TKO,3,3:43,3 Rnd (5-5-5),Leon Roberts,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Bantamweight Bout,John Lineker,102,233,50,137,43.0,36.0,113,244,58,147,0,0,1,6,,16.0,65,173,41,112,31,49,6,19,6,11,3,6,89,211,46,132,7,12,3,4,6,10,1,1,223
Vitor Belfort,Lyoto Machida,0,1,2 of 12,11 of 22,16%,50%,2 of 12,11 of 22,0 of 0,0 of 0,,,0,0,0,0,0:00,0:00,2 of 11,2 of 8,0 of 1,7 of 11,0 of 0,2 of 3,2 of 12,11 of 22,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,2,1:00,3 Rnd (5-5-5),Marc Goddard,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight Bout,Lyoto Machida,2,12,11,22,16.0,50.0,2,12,11,22,0,0,0,0,,,2,11,2,8,0,1,7,11,0,0,2,3,2,12,11,22,0,0,0,0,0,0,0,0,60
Aleksei Oleinik,Junior Albini,0,0,10 of 17,10 of 15,58%,66%,10 of 17,10 of 15,0 of 3,1 of 1,0%,100%,1,0,0,0,0:15,0:12,6 of 12,7 of 11,2 of 3,2 of 3,2 of 2,1 of 1,10 of 17,9 of 13,0 of 0,1 of 2,0 of 0,0 of 0,Submission,1,1:45,3 Rnd (5-5-5),Leon Roberts,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Heavyweight Bout,Aleksei Oleinik,10,17,10,15,58.0,66.0,10,17,10,15,0,3,1,1,0.0,100.0,6,12,7,11,2,3,2,3,2,2,1,1,10,17,9,13,0,0,1,2,0,0,0,0,105
Elizeu Zaleski dos Santos,Sean Strickland,1,0,15 of 58,14 of 36,25%,38%,18 of 63,14 of 36,0 of 1,0 of 0,0%,,0,0,0,0,0:06,0:00,9 of 41,13 of 35,2 of 8,0 of 0,4 of 9,1 of 1,9 of 45,13 of 35,0 of 0,1 of 1,6 of 13,0 of 0,KO/TKO,1,3:40,3 Rnd (5-5-5),Fernando Portella,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight Bout,Elizeu Zaleski dos Santos,15,58,14,36,25.0,38.0,18,63,14,36,0,1,0,0,0.0,,9,41,13,35,2,8,0,0,4,9,1,1,9,45,13,35,0,0,1,1,6,13,0,0,220
Alberto Mina,Ramazan Emeev,0,0,12 of 82,39 of 84,14%,46%,16 of 87,54 of 100,1 of 5,3 of 6,20%,50%,0,0,0,0,0:05,5:06,5 of 65,28 of 67,3 of 11,8 of 14,4 of 6,3 of 3,11 of 79,24 of 57,1 of 2,4 of 9,0 of 1,11 of 18,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight Bout,Ramazan Emeev,12,82,39,84,14.0,46.0,16,87,54,100,1,5,3,6,20.0,50.0,5,65,28,67,3,11,8,14,4,6,3,3,11,79,24,57,1,2,4,9,0,1,11,18,300
Thales Leites,Jack Hermansson,0,0,11 of 17,35 of 56,64%,62%,20 of 27,49 of 71,3 of 9,3 of 3,33%,100%,3,1,0,0,7:41,2:06,5 of 11,25 of 43,1 of 1,4 of 6,5 of 5,6 of 7,6 of 9,14 of 30,1 of 1,2 of 2,4 of 7,19 of 24,KO/TKO,3,2:10,3 Rnd (5-5-5),Marc Goddard,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight Bout,Jack Hermansson,11,17,35,56,64.0,62.0,20,27,49,71,3,9,3,3,33.0,100.0,5,11,25,43,1,1,4,6,5,5,6,7,6,9,14,30,1,1,2,2,4,7,19,24,130
Warlley Alves,Sultan Aliev,0,0,29 of 50,12 of 28,58%,42%,54 of 78,14 of 30,0 of 1,1 of 3,0%,33%,0,0,0,0,3:24,2:07,7 of 20,10 of 24,12 of 19,2 of 4,10 of 11,0 of 0,10 of 28,7 of 21,19 of 22,5 of 7,0 of 0,0 of 0,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Osiris Maia,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight Bout,Warlley Alves,29,50,12,28,58.0,42.0,54,78,14,30,0,1,1,3,0.0,33.0,7,20,10,24,12,19,2,4,10,11,0,0,10,28,7,21,19,22,5,7,0,0,0,0,300
Markus Perez,James Bochnovic,0,0,4 of 4,3 of 6,100%,50%,13 of 16,4 of 8,1 of 1,0 of 1,100%,0%,2,0,0,0,3:17,0:59,3 of 3,1 of 3,1 of 1,2 of 3,0 of 0,0 of 0,0 of 0,1 of 3,1 of 1,1 of 2,3 of 3,1 of 1,Submission,1,4:28,3 Rnd (5-5-5),Fernando Portella,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight Bout,Markus Perez,4,4,3,6,100.0,50.0,13,16,4,8,1,1,0,1,100.0,0.0,3,3,1,3,1,1,2,3,0,0,0,0,0,0,1,3,1,1,1,2,3,3,1,1,268
Merab Dvalishvili,Ricky Simon,1,0,61 of 210,34 of 103,29%,33%,82 of 233,38 of 108,6 of 22,2 of 7,27%,28%,0,1,0,1,2:42,2:46,42 of 185,25 of 91,8 of 12,6 of 9,11 of 13,3 of 3,56 of 194,28 of 95,5 of 15,5 of 7,0 of 1,1 of 1,KO/TKO,3,5:00,3 Rnd (5-5-5),Liam Kerrigan,2018-04-21,"Atlantic City, New Jersey, USA",Bantamweight Bout,Ricky Simon,61,210,34,103,29.0,33.0,82,233,38,108,6,22,2,7,27.0,28.0,42,185,25,91,8,12,6,9,11,13,3,3,56,194,28,95,5,15,5,7,0,1,1,1,300
